tile_id,xmin,ymin,xmax,ymax,native_px240,native_frac
t5_491,49950,4905090,59940,4915080,947,0.31503659347970725
t5_492,49950,4915080,59940,4925070,544,0.18097139055222888
t5_493,49950,4925070,59940,4935060,461,0.15335994677312043
t5_494,49950,4935060,59940,4945050,9,0.0029940119760479044
t5_497,49950,4965030,59940,4975020,144,0.04790419161676647
t5_500,49950,4995000,59940,5004990,58,0.01929474384564205
t5_501,49950,5004990,59940,5014980,86,0.028609447771124417
t5_503,49950,5024970,59940,5034960,1,0.00033266799733865603
t5_504,49950,5034960,59940,5044950,1437,0.4780439121756487
t5_505,49950,5044950,59940,5054940,5,0.00166333998669328
t5_506,49950,5054940,59940,5064930,231,0.07684630738522955
t5_515,49950,5144850,59940,5154840,28,0.009314703925482368
t5_516,49950,5154840,59940,5164830,37,0.012308715901530274
t6_426,59940,4255740,69930,4265730,583,0.19394544244843645
t6_427,59940,4265730,69930,4275720,1588,0.5282767797737857
t6_428,59940,4275720,69930,4285710,423,0.1407185628742515
t6_429,59940,4285710,69930,4295700,431,0.14337990685296076
t6_430,59940,4295700,69930,4305690,148,0.049234863606121095
t6_436,59940,4355640,69930,4365630,109,0.03626081170991351
t6_437,59940,4365630,69930,4375620,85,0.028276779773785763
t6_438,59940,4375620,69930,4385610,1375,0.457418496340652
t6_439,59940,4385610,69930,4395600,1572,0.5229540918163673
t6_440,59940,4395600,69930,4405590,1956,0.6506986027944112
t6_441,59940,4405590,69930,4415580,1933,0.6430472388556221
t6_442,59940,4415580,69930,4425570,1991,0.6623419827012641
t6_443,59940,4425570,69930,4435560,1821,0.6057884231536926
t6_444,59940,4435560,69930,4445550,956,0.3180306054557552
t6_445,59940,4445550,69930,4455540,422,0.14038589487691283
t6_446,59940,4455540,69930,4465530,2150,0.7152361942781105
t6_447,59940,4465530,69930,4475520,2405,0.8000665335994678
t6_448,59940,4475520,69930,4485510,2105,0.7002661343978709
t6_449,59940,4485510,69930,4495500,1749,0.5818363273453094
t6_450,59940,4495500,69930,4505490,1551,0.5159680638722555
t6_451,59940,4505490,69930,4515480,1454,0.48369926813040587
t6_452,59940,4515480,69930,4525470,1296,0.4311377245508982
t6_453,59940,4525470,69930,4535460,1443,0.48003992015968067
t6_454,59940,4535460,69930,4545450,1516,0.5043246839654025
t6_455,59940,4545450,69930,4555440,1665,0.5538922155688623
t6_456,59940,4555440,69930,4565430,1369,0.4554224883566201
t6_457,59940,4565430,69930,4575420,1902,0.6327345309381237
t6_458,59940,4575420,69930,4585410,1943,0.6463739188290086
t6_459,59940,4585410,69930,4595400,1901,0.632401862940785
t6_460,59940,4595400,69930,4605390,1524,0.5069860279441117
t6_461,59940,4605390,69930,4615380,2371,0.7887558216899534
t6_462,59940,4615380,69930,4625370,1733,0.5765136393878909
t6_463,59940,4625370,69930,4635360,2306,0.7671324018629407
t6_464,59940,4635360,69930,4645350,2123,0.7062541583499667
t6_465,59940,4645350,69930,4655340,1983,0.6596806387225549
t6_466,59940,4655340,69930,4665330,1990,0.6620093147039254
t6_467,59940,4665330,69930,4675320,1991,0.6623419827012641
t6_468,59940,4675320,69930,4685310,2073,0.689620758483034
t6_469,59940,4685310,69930,4695300,875,0.291084497671324
t6_470,59940,4695300,69930,4705290,58,0.01929474384564205
t6_471,59940,4705290,69930,4715280,52,0.017298735861610112
t6_479,59940,4785210,69930,4795200,6,0.001996007984031936
t6_480,59940,4795200,69930,4805190,1358,0.4517631403858949
t6_481,59940,4805190,69930,4815180,2608,0.867598137059215
t6_482,59940,4815180,69930,4825170,2252,0.7491683300066534
t6_483,59940,4825170,69930,4835160,2029,0.674983366600133
t6_484,59940,4835160,69930,4845150,2473,0.8226879574184963
t6_485,59940,4845150,69930,4855140,2302,0.7658017298735862
t6_486,59940,4855140,69930,4865130,2551,0.8486360612109115
t6_487,59940,4865130,69930,4875120,2519,0.8379906852960746
t6_488,59940,4875120,69930,4885110,2408,0.8010645375914837
t6_489,59940,4885110,69930,4895100,1752,0.5828343313373253
t6_490,59940,4895100,69930,4905090,1798,0.5981370592149036
t6_491,59940,4905090,69930,4915080,936,0.31137724550898205
t6_492,59940,4915080,69930,4925070,1778,0.5914836992681304
t6_493,59940,4925070,69930,4935060,1959,0.6516966067864272
t6_494,59940,4935060,69930,4945050,505,0.1679973386560213
t6_495,59940,4945050,69930,4955040,257,0.0854956753160346
t6_496,59940,4955040,69930,4965030,109,0.03626081170991351
t6_497,59940,4965030,69930,4975020,555,0.18463073852295409
t6_498,59940,4975020,69930,4985010,908,0.30206254158349966
t6_501,59940,5004990,69930,5014980,75,0.0249500998003992
t6_502,59940,5014980,69930,5024970,228,0.07584830339321358
t6_503,59940,5024970,69930,5034960,1305,0.4341317365269461
t6_504,59940,5034960,69930,5044950,1625,0.540585495675316
t6_505,59940,5044950,69930,5054940,54,0.017964071856287425
t6_506,59940,5054940,69930,5064930,2289,0.7614770459081837
t6_507,59940,5064930,69930,5074920,452,0.15036593479707253
t6_508,59940,5074920,69930,5084910,79,0.026280771789753826
t6_509,59940,5084910,69930,5094900,93,0.03093812375249501
t6_519,59940,5184810,69930,5194800,319,0.10612109115103127
t6_520,59940,5194800,69930,5204790,1738,0.5781769793745841
t6_521,59940,5204790,69930,5214780,895,0.2977378576180971
t6_522,59940,5214780,69930,5224770,162,0.05389221556886228
t7_423,69930,4225770,79920,4235760,17,0.005655355954757153
t7_424,69930,4235760,79920,4245750,142,0.047238855622089154
t7_426,69930,4255740,79920,4265730,133,0.044244843646041254
t7_427,69930,4265730,79920,4275720,735,0.24451097804391217
t7_428,69930,4275720,79920,4285710,1419,0.4720558882235529
t7_429,69930,4285710,79920,4295700,2024,0.6733200266134398
t7_430,69930,4295700,79920,4305690,1231,0.40951430472388556
t7_431,69930,4305690,79920,4315680,106,0.03526280771789754
t7_432,69930,4315680,79920,4325670,88,0.02927478376580173
t7_433,69930,4325670,79920,4335660,425,0.1413838988689288
t7_434,69930,4335660,79920,4345650,108,0.03592814371257485
t7_435,69930,4345650,79920,4355640,246,0.08183632734530938
t7_436,69930,4355640,79920,4365630,1516,0.5043246839654025
t7_437,69930,4365630,79920,4375620,905,0.3010645375914837
t7_438,69930,4375620,79920,4385610,2,0.0006653359946773121
t7_439,69930,4385610,79920,4395600,444,0.14770459081836326
t7_440,69930,4395600,79920,4405590,1276,0.4244843646041251
t7_441,69930,4405590,79920,4415580,1955,0.6503659347970725
t7_442,69930,4415580,79920,4425570,2038,0.677977378576181
t7_443,69930,4425570,79920,4435560,1689,0.56187624750499
t7_444,69930,4435560,79920,4445550,162,0.05389221556886228
t7_445,69930,4445550,79920,4455540,627,0.2085828343313373
t7_446,69930,4455540,79920,4465530,882,0.2934131736526946
t7_447,69930,4465530,79920,4475520,1595,0.5306054557551564
t7_448,69930,4475520,79920,4485510,1133,0.3769128409846973
t7_449,69930,4485510,79920,4495500,1153,0.38356620093147037
t7_450,69930,4495500,79920,4505490,1545,0.5139720558882236
t7_451,69930,4505490,79920,4515480,1947,0.6477045908183633
t7_452,69930,4515480,79920,4525470,1816,0.6041250831669993
t7_453,69930,4525470,79920,4535460,1748,0.5815036593479708
t7_454,69930,4535460,79920,4545450,1720,0.5721889554224884
t7_455,69930,4545450,79920,4555440,1470,0.48902195608782434
