tile_id,xmin,ymin,xmax,ymax
t5_457,49950,4565430,59940,4575420
t5_458,49950,4575420,59940,4585410
t5_459,49950,4585410,59940,4595400
t5_460,49950,4595400,59940,4605390
t5_461,49950,4605390,59940,4615380
t5_462,49950,4615380,59940,4625370
t5_463,49950,4625370,59940,4635360
t5_464,49950,4635360,59940,4645350
t5_465,49950,4645350,59940,4655340
t5_466,49950,4655340,59940,4665330
t5_467,49950,4665330,59940,4675320
t5_468,49950,4675320,59940,4685310
t5_469,49950,4685310,59940,4695300
t5_470,49950,4695300,59940,4705290
t5_480,49950,4795200,59940,4805190
t5_481,49950,4805190,59940,4815180
t5_482,49950,4815180,59940,4825170
t5_483,49950,4825170,59940,4835160
t5_484,49950,4835160,59940,4845150
t5_485,49950,4845150,59940,4855140
t5_486,49950,4855140,59940,4865130
t5_487,49950,4865130,59940,4875120
t5_488,49950,4875120,59940,4885110
t5_489,49950,4885110,59940,4895100
t5_490,49950,4895100,59940,4905090
t5_491,49950,4905090,59940,4915080
t5_492,49950,4915080,59940,4925070
t5_493,49950,4925070,59940,4935060
t5_497,49950,4965030,59940,4975020
t5_500,49950,4995000,59940,5004990
t5_501,49950,5004990,59940,5014980
t5_504,49950,5034960,59940,5044950
t5_506,49950,5054940,59940,5064930
t5_515,49950,5144850,59940,5154840
t5_516,49950,5154840,59940,5164830
t6_426,59940,4255740,69930,4265730
t6_427,59940,4265730,69930,4275720
t6_428,59940,4275720,69930,4285710
t6_429,59940,4285710,69930,4295700
t6_430,59940,4295700,69930,4305690
t6_436,59940,4355640,69930,4365630
t6_437,59940,4365630,69930,4375620
t6_438,59940,4375620,69930,4385610
t6_439,59940,4385610,69930,4395600
t6_440,59940,4395600,69930,4405590
t6_441,59940,4405590,69930,4415580
t6_442,59940,4415580,69930,4425570
t6_443,59940,4425570,69930,4435560
t6_444,59940,4435560,69930,4445550
t6_445,59940,4445550,69930,4455540
t6_446,59940,4455540,69930,4465530
t6_447,59940,4465530,69930,4475520
