tile_id,xmin,ymin,xmax,ymax
t14_542,139860,5414580,149850,5424570
t14_546,139860,5454540,149850,5464530
t14_547,139860,5464530,149850,5474520
t14_551,139860,5504490,149850,5514480
t14_552,139860,5514480,149850,5524470
t14_556,139860,5554440,149850,5564430
t14_557,139860,5564430,149850,5574420
t14_561,139860,5604390,149850,5614380
t14_562,139860,5614380,149850,5624370
t14_566,139860,5654340,149850,5664330
t14_567,139860,5664330,149850,5674320
t14_571,139860,5704290,149850,5714280
t14_572,139860,5714280,149850,5724270
t14_576,139860,5754240,149850,5764230
t14_577,139860,5764230,149850,5774220
t14_581,139860,5804190,149850,5814180
t14_582,139860,5814180,149850,5824170
t14_586,139860,5854140,149850,5864130
t14_587,139860,5864130,149850,5874120
t14_591,139860,5904090,149850,5914080
t14_592,139860,5914080,149850,5924070
t15_408,149850,4075920,159840,4085910
t15_409,149850,4085910,159840,4095900
t15_415,149850,4145850,159840,4155840
t15_416,149850,4155840,159840,4165830
t15_420,149850,4195800,159840,4205790
t15_421,149850,4205790,159840,4215780
t15_425,149850,4245750,159840,4255740
t15_426,149850,4255740,159840,4265730
t15_430,149850,4295700,159840,4305690
t15_431,149850,4305690,159840,4315680
t15_435,149850,4345650,159840,4355640
t15_436,149850,4355640,159840,4365630
t15_440,149850,4395600,159840,4405590
t15_441,149850,4405590,159840,4415580
t15_446,149850,4455540,159840,4465530
t15_447,149850,4465530,159840,4475520
t15_451,149850,4505490,159840,4515480
t15_452,149850,4515480,159840,4525470
t15_456,149850,4555440,159840,4565430
t15_457,149850,4565430,159840,4575420
t15_464,149850,4635360,159840,4645350
t15_465,149850,4645350,159840,4655340
t15_469,149850,4685310,159840,4695300
t15_470,149850,4695300,159840,4705290
t15_474,149850,4735260,159840,4745250
t15_483,149850,4825170,159840,4835160
t15_487,149850,4865130,159840,4875120
t15_488,149850,4875120,159840,4885110
t15_492,149850,4915080,159840,4925070
t15_493,149850,4925070,159840,4935060
t15_497,149850,4965030,159840,4975020
t15_498,149850,4975020,159840,4985010
t15_502,149850,5014980,159840,5024970
t15_503,149850,5024970,159840,5034960
t15_507,149850,5064930,159840,5074920
t15_508,149850,5074920,159840,5084910
t15_513,149850,5124870,159840,5134860
t15_527,149850,5264730,159840,5274720
t15_531,149850,5304690,159840,5314680
t15_535,149850,5344650,159840,5354640
t15_539,149850,5384610,159840,5394600
t15_540,149850,5394600,159840,5404590
t15_544,149850,5434560,159840,5444550
t15_545,149850,5444550,159840,5454540
t15_549,149850,5484510,159840,5494500
t15_550,149850,5494500,159840,5504490
t15_554,149850,5534460,159840,5544450
t15_555,149850,5544450,159840,5554440
t15_559,149850,5584410,159840,5594400
t15_560,149850,5594400,159840,5604390
t15_564,149850,5634360,159840,5644350
t15_565,149850,5644350,159840,5654340
t15_569,149850,5684310,159840,5694300
t15_570,149850,5694300,159840,5704290
t15_574,149850,5734260,159840,5744250
t15_575,149850,5744250,159840,5754240
t15_579,149850,5784210,159840,5794200
t15_580,149850,5794200,159840,5804190
t15_584,149850,5834160,159840,5844150
t15_585,149850,5844150,159840,5854140
t15_589,149850,5884110,159840,5894100
t15_590,149850,5894100,159840,5904090
t15_594,149850,5934060,159840,5944050
t15_595,149850,5944050,159840,5954040
t15_599,149850,5984010,159840,5994000
t15_600,149850,5994000,159840,6003990
t16_410,159840,4095900,169830,4105890
t16_411,159840,4105890,169830,4115880
