plot_id,index,px,s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51
PCL0403,ndvi,center,0.52147365,0.45639464,0.5109514,0.48556995,0.45106333,0.43920273,0.28522077,0.278853,0.32146943,0.26786143,0.24617586,0.43466932,0.3944863,0.4040928,0.46724346,0.55765504,0.566822,0.62909687,0.5791818,0.55789953,0.54056,0.5417859,0.5447378,0.5536524,0.6076527,0.5875797,0.6067325,0.5670731,0.5767146,0.5294209,0.5068662,0.4977921,0.50851554,0.5253369,0.5464071,0.6417388,0.58410627,0.37121,0.48940662,0.51361907,0.5569262,0.583928,0.5892576,0.5425054,0.4697425,0.460334,0.4218435,0.44045267,0.4869854,0.49797463,0.505878,0.55477583
PCL0403,ndvi,mean5x5,0.46795025,0.43201455,0.48363286,0.43322328,0.33985204,0.29939613,0.3544679,0.35369277,0.41596195,0.44821537,0.46437156,0.43655285,0.38192132,0.38222778,0.4111125,0.48150596,0.48895913,0.5588161,0.5278335,0.5299609,0.5128329,0.51456565,0.5146502,0.524604,0.5639454,0.5532583,0.57008314,0.5410128,0.5370581,0.4958112,0.4689327,0.45219922,0.45766786,0.47384614,0.49130118,0.56882864,0.5274091,0.32915467,0.4352021,0.4496668,0.4887163,0.50850797,0.51508224,0.47367084,0.43599552,0.42655918,0.40195194,0.4140733,0.44280797,0.43805522,0.45301604,0.4908292
PCL0403,evi,center,0.13042237,0.105955675,0.11002471,0.091760926,0.06640182,0.05393598,0.048630036,0.03297124,0.025879864,0.024717204,0.024000831,0.024769533,0.03821226,0.06096155,0.08860226,0.122640304,0.1400176,0.16184886,0.15473653,0.14608158,0.14336683,0.15089418,0.1542516,0.16495048,0.19206105,0.19277142,0.2044312,0.19706576,0.20456006,0.18943396,0.18319668,0.18006988,0.19348723,0.20213667,0.21240033,0.2443543,0.22471777,0.13152677,0.17715499,0.19077413,0.20844378,0.221021,0.21754462,0.19827771,0.16124295,0.14773025,0.12362662,0.1226578,0.13529734,0.13727824,0.13856238,0.14488922
PCL0403,evi,mean5x5,0.098736,0.08174003,0.08109726,0.061762184,0.04168257,0.032346543,0.029197946,0.022222374,0.021394432,0.023790626,0.025828192,0.026014542,0.02912598,0.040054556,0.056731865,0.078210525,0.09194866,0.11579952,0.11726219,0.11634882,0.11806862,0.12721068,0.13064682,0.14322597,0.16563761,0.17232662,0.1850983,0.18428841,0.18895859,0.17851986,0.17111263,0.1659855,0.17811313,0.18662748,0.19589268,0.22106776,0.20775923,0.121313915,0.16079515,0.16765845,0.18235058,0.19019379,0.18642502,0.16717973,0.1458084,0.13191915,0.11395168,0.10925378,0.1145664,0.110195525,0.1113515,0.111549996
PCL0403,kndvi,center,0.27758816,0.22461966,0.27313593,0.2487679,0.21378602,0.204922,0.3074843,0.3001557,0.34345835,0.3051489,0.29545355,0.21849972,0.20620164,0.21637474,0.26285443,0.34021077,0.34813526,0.38400406,0.3325558,0.31397444,0.29419965,0.2933721,0.29586616,0.30450085,0.35796845,0.33674133,0.35824427,0.31702468,0.32706803,0.27785358,0.25750005,0.24655312,0.25697747,0.27374724,0.29436,0.39002427,0.32853055,0.13693127,0.23850136,0.26651284,0.30564263,0.3321963,0.3415737,0.2995432,0.23803298,0.23031215,0.19380586,0.20597608,0.24803784,0.2549169,0.26101926,0.3095048
PCL0403,kndvi,mean5x5,0.23146005,0.20539351,0.24832201,0.20919952,0.15736082,0.14415736,0.24460672,0.24826157,0.30126724,0.30398852,0.30640638,0.23056582,0.19425535,0.19340554,0.21139698,0.26811117,0.26829362,0.31465417,0.28294268,0.28384167,0.26508948,0.26554227,0.2654493,0.2749606,0.31405517,0.30308005,0.32069346,0.29096603,0.2886968,0.24777167,0.224891,0.20840551,0.21382137,0.22836418,0.24432899,0.31676224,0.27427405,0.1096157,0.19338934,0.21160167,0.2441807,0.26180953,0.27009875,0.23461294,0.20334105,0.19651107,0.17601278,0.18322346,0.20789187,0.2048876,0.21746099,0.2526002
PCL0403,nbr,center,0.45814076,0.42633784,0.45744917,0.45761558,0.5117547,0.57162225,0.6373659,0.6544,0.6558839,0.5830513,0.5696694,0.49186477,0.5070527,0.5070402,0.5149837,0.52511847,0.52538854,0.52043784,0.434377,0.38982454,0.3504308,0.35143173,0.3317808,0.34767145,0.3869469,0.373169,0.39523605,0.3447416,0.36183232,0.30583933,0.29638162,0.27630594,0.31364504,0.33363265,0.3726714,0.44524464,0.4231195,0.19495478,0.2646614,0.3612023,0.42403615,0.47991416,0.49120218,0.4434487,0.37312403,0.34260923,0.2978069,0.3018205,0.36599016,0.3833559,0.43254885,0.486146
PCL0403,nbr,mean5x5,0.38441765,0.35937706,0.38591808,0.3809158,0.36305526,0.43204173,0.47684273,0.49355888,0.49620602,0.51706743,0.5233027,0.48334372,0.5149982,0.5056387,0.50852805,0.4881265,0.46736604,0.4560366,0.39196873,0.33732623,0.30497575,0.31489804,0.28926834,0.31151894,0.34859207,0.3400852,0.35525775,0.31883925,0.32328296,0.27481946,0.25377294,0.22936325,0.262116,0.28196537,0.31659764,0.38744298,0.37449646,0.14828663,0.22056709,0.28832188,0.3466156,0.39548045,0.401171,0.35552433,0.3225063,0.29246467,0.26052928,0.26947477,0.33181247,0.32806858,0.3768865,0.41625345
PCL0403,savi,center,0.14153965,0.11759403,0.123786196,0.105033904,0.07656173,0.061369743,0.055491768,0.03703374,0.029458694,0.028279416,0.027635783,0.028904269,0.041272324,0.06658569,0.09339209,0.13007273,0.1489499,0.17353135,0.16604538,0.15946828,0.15729015,0.16484194,0.16934136,0.17997636,0.20849274,0.20856518,0.220007,0.21284017,0.219771,0.20506121,0.19729862,0.19509155,0.20521963,0.21417743,0.22209089,0.25921974,0.23043844,0.136271,0.1919656,0.19986206,0.21941873,0.22956815,0.22858886,0.20841007,0.17175095,0.15906978,0.13635758,0.13591811,0.14656769,0.1488706,0.14856115,0.15652062
PCL0403,savi,mean5x5,0.107944734,0.09036682,0.09085584,0.07093004,0.048103265,0.03667147,0.033236012,0.024379816,0.023730671,0.026282499,0.028434778,0.028802503,0.03167314,0.044128746,0.06049013,0.08442798,0.09958716,0.12554103,0.1271444,0.12783693,0.13003904,0.13889457,0.14335382,0.15601003,0.17975599,0.18561573,0.19863985,0.19769496,0.20163733,0.19129246,0.18280716,0.17856266,0.18708003,0.19625996,0.2036627,0.23413141,0.21371426,0.12673593,0.17414106,0.17728303,0.19347948,0.19948703,0.19743387,0.1774725,0.15534294,0.14201313,0.12456542,0.12028104,0.12468121,0.12041579,0.11976567,0.12153768
