species,nombre_normalizado,habito_raw,forma,estatus,es_sinonimo,aceptado,forma_inconsistente
Baccharis longipes,baccharis longipes,Hierba,herbacea,nativa,True,Baccharis glutinosa,True
Baccharis gayana,baccharis gayana,Arbusto,lenosa,endemica,True,Baccharis intermedia,False
Baccharis volckmannii,baccharis volckmannii,Arbusto,lenosa,endemica,True,Baccharis intermedia,False
Arrhenachne juncea,arrhenachne juncea,Hierba,herbacea,nativa,True,Baccharis juncea,False
Baccharis negeri,baccharis negeri,Arbusto,lenosa,nativa,True,Baccharis lycioides,False
Baccharis valdiviana,baccharis valdiviana,Arbusto,lenosa,nativa,True,Baccharis lycioides,False
Baccharis tricuneata,baccharis tricuneata,Arbusto,lenosa,nativa,True,Baccharis magellanica,False
Conyza magellanica,conyza magellanica,Arbusto,lenosa,nativa,True,Baccharis magellanica,False
Baccharis lingulata,baccharis lingulata,Arbusto,lenosa,nativa,True,Baccharis linearis,False
Baccharis linifolia,baccharis linifolia,Arbusto,lenosa,nativa,True,Baccharis linearis,False
Baccharis rosmarinifolia,baccharis rosmarinifolia,Arbusto,lenosa,nativa,True,Baccharis linearis,False
Molina linearis,molina linearis,Arbusto,lenosa,nativa,True,Baccharis linearis,False
Baccharis montteana,baccharis montteana,Arbusto,lenosa,nativa,True,Baccharis linearis,False
