plot_id,index,sos,sos_mean5x5,pos,pos_mean5x5,eos,eos_mean5x5,vsos,vsos_mean5x5,vpos,vpos_mean5x5,veos,veos_mean5x5,los,los_mean5x5,msp,msp_mean5x5,mau,mau_mean5x5,vmsp,vmsp_mean5x5,vmau,vmau_mean5x5,ampl,ampl_mean5x5,ios,ios_mean5x5,rog,rog_mean5x5,ros,ros_mean5x5,sw,sw_mean5x5,trough,trough_mean5x5,mos,mos_mean5x5,degenerate_px_frac,peak_doy_observed,peak_doy_ref,phase_group,order_coherent,anchoring_used,ref_index,anchor_circ_sd,anchor_median,aseasonal_frac,strength_median,phase_error
PCL0324,ndvi,164.0,163.32,228.0,233.04,314.0,309.28,0.5922934065262477,0.5511317090752536,0.7476146757602692,0.7652070031007132,0.6158178627490998,0.5768983308871587,150.0,145.96,193.0,198.6,271.0,270.0,0.6722158874405755,0.7157482461796866,0.7202566921710968,0.706003447643916,0.3207231571432203,0.40042189438062253,96.19661751306718,92.68479444825287,0.002426894831781585,0.0031209641090359803,-0.0015325210815252258,-0.0024331681377383154,-0.5964194095497837,-1.1610985172400339,0.4268915186170489,0.3647851087200907,239.0,236.3,0.0,229.0,229.0,winter_peaking,True,auto,ndvi,12.069376266413407,68.67427244376597,0.2,0.2573810833840461,
PCL0324,evi,221.0,196.28,300.0,279.28,42.0,223.6,0.26530373334884644,0.2709160164409214,0.351157416899999,0.39575569570064545,0.2646606370806694,0.26058222270011905,186.0,173.32,264.0,237.96,350.0,279.76,0.32823766469955445,0.3471098231964641,0.31208906769752504,0.33735956613222756,0.20155176399275665,0.25356304817048175,53.3455775928994,53.98886236022843,0.0010867554879892731,0.0015813736066783224,-0.0008083811198068189,-0.0016503674120526203,-0.938398507067333,-0.4841982621088081,0.14960565290724237,0.14219264753016372,314.0,282.94,0.0,300.0,229.0,winter_peaking,True,auto,ndvi,25.65840414491311,95.46445823793044,0.0,0.3665586368061548,
PCL0324,kndvi,164.0,165.56,229.0,233.0,307.0,311.84,0.35815335214138033,0.3464871895126862,0.5071858197450638,0.5264006458944744,0.3825374037027359,0.32069824085632964,143.0,146.28,193.0,199.44,271.0,271.76,0.4248903493086497,0.4795638752963808,0.47675101459026337,0.46329453522364306,0.28201188834354984,0.36183889271796266,60.12918437520663,61.388321968103234,0.002292807193902823,0.002706358637128782,-0.0015980566159272808,-0.0026707667122468485,-0.17652317781898108,-0.7971797284936725,0.22517393140151398,0.16456175317651184,235.5,238.7,0.0,229.0,229.0,winter_peaking,True,auto,ndvi,10.306432437657007,62.38391369556359,0.0,0.4556000697194254,
PCL0324,nbr,136.0,154.4,179.0,226.32,293.0,311.32,0.35127268731594086,0.34560621963000543,0.5771159080664316,0.5938261872212093,0.5031128933032354,0.3858756393988927,157.0,156.92,157.0,190.04,236.0,269.2,0.4473369870583216,0.511340384864476,0.5633708369731903,0.530767857615153,0.3524937776724497,0.48560731778343524,75.6713397219777,74.91037778078778,0.005252167924430018,0.003666525584363101,-0.0006491492523087391,-0.002725955656040122,-1.78104546002298,-0.930503788447835,0.22462213039398193,0.10821886943777402,214.5,232.86,0.0,179.0,229.0,winter_peaking,True,auto,ndvi,9.395885246336414,61.67849755391791,0.08,0.6865700679480157,
PCL0324,savi,214.0,197.76,300.0,282.12,42.0,223.32,0.26136736247274606,0.2781037982258532,0.34577324291070305,0.3842179769913356,0.27278259098529817,0.2627064351638158,193.0,171.56,257.0,240.0,350.0,251.88,0.32412583827972413,0.3494567221111721,0.31389686465263367,0.33308545700709025,0.19500318563853702,0.24332830718251447,55.46229144040081,52.81906999592317,0.0009814637260227557,0.0013970342320783124,-0.0006821556254710736,-0.0014897252353542043,-0.8752039173166776,-0.4654226033757133,0.15077005727216602,0.14088966980882106,310.5,283.54,0.0,300.0,229.0,winter_peaking,True,auto,ndvi,24.29658728537298,96.07189682610868,0.0,0.3434709298390237,
PCL0325,ndvi,171.0,165.88,229.0,236.48,314.0,315.16,0.5897712909181912,0.5486100939419432,0.7636870455741882,0.7674098911073473,0.5601020514965057,0.5490110117197038,143.0,149.28,200.0,202.52,271.0,274.24,0.728573352098465,0.722849417421553,0.6888876855373383,0.7040152234236399,0.39970338610466566,0.4317692209799736,89.5225331501166,94.80283661945921,0.0029985474940689132,0.0031126911103565753,-0.0023951175773845,-0.0027528882406904574,-0.3706736195148799,-0.9611292649960065,0.36398365946952255,0.3356406701273736,242.5,240.52,0.0,229.0,229.0,winter_peaking,True,auto,ndvi,10.270365339620527,66.58126677840187,0.08,0.374189577206843,
PCL0325,evi,192.0,189.52,250.0,270.72,349.0,266.6,0.2876680039697223,0.27026535531083745,0.38007667362689973,0.4161764749288559,0.26904902756214144,0.2566832543611527,157.0,164.68,221.0,230.52,299.0,282.12,0.3444219672017627,0.3683125221861734,0.3407601406176885,0.3519995842774709,0.23934605070389808,0.2802559312633918,47.842394773827664,53.31311773489283,0.0015932529251237487,0.0018381545074132935,-0.001121491374391498,-0.002063311197259223,-0.5406112197180202,-0.5476190438148856,0.14073062292300165,0.13592054366546413,270.5,271.86,0.0,250.0,229.0,winter_peaking,True,auto,ndvi,23.163513135178498,89.6813552565265,0.0,0.4967912241788682,
PCL0325,kndvi,172.0,165.04,229.0,236.44,307.0,314.68,0.3473470778763294,0.3174026667428455,0.5248503410816193,0.5288715094195472,0.33494737843672434,0.29588687282800674,135.0,149.64,200.0,201.12,271.0,274.88,0.48587903843985664,0.4768719873004489,0.44317944049835206,0.4602292720079422,0.3642253917030326,0.39197014574718153,55.88012886057298,62.34870858705688,0.0031140923369349107,0.002982821117391655,-0.0024346533672422433,-0.002995111044331479,-0.20188658674640403,-0.8118626747242614,0.16062494937858673,0.13690136367236558,239.5,239.86,0.0,229.0,229.0,winter_peaking,True,auto,ndvi,8.800725220787669,61.53528480343016,0.0,0.662528514385815,
PCL0325,nbr,164.0,158.68,250.0,234.88,321.0,315.32,0.31314673508207,0.30428088087048377,0.541274493932724,0.5875428607649273,0.3144583642482758,0.3308660034388303,157.0,156.64,207.0,196.84,286.0,274.92,0.4912471055984497,0.5119594394654036,0.4735504170258841,0.5158238322019577,0.46605978285272914,0.5608897510604726,68.3464451873054,72.67570640663753,0.0026526483587285344,0.00379270433957758,-0.0031945933758372987,-0.003470230979009907,-0.8931885267274937,-0.9815252383889991,0.07521471107999483,0.02665310970445474,242.5,237.0,0.0,250.0,229.0,winter_peaking,True,auto,ndvi,8.466394273120187,60.5380203820236,0.0,0.9806364785920605,
PCL0325,savi,192.0,191.0,250.0,268.44,335.0,264.64,0.2889283960395389,0.2777816863232189,0.3751187831163406,0.4009907962719599,0.27934270799160005,0.26504426236947376,143.0,161.24,221.0,229.72,292.0,280.32,0.3439636635118061,0.36601059652169554,0.3455449750026067,0.3472835394938787,0.23174248436698688,0.26584082909485823,43.7831176321374,51.365556319850356,0.0014860411564965813,0.0016748926642030024,-0.0011267773544087125,-0.0017421840441098793,-0.525764261273155,-0.5512129998377425,0.14337629874935373,0.13514996717710162,263.5,271.62,0.0,250.0,229.0,winter_peaking,True,auto,ndvi,22.000864206011006,90.77387761851588,0.0,0.4708174718375716,
