species,family,becerra,parcelas_cl_resto,living_trees,n_parcelas,en_conteos,forma,fuente,motivo
Eriosyce,,6,1,0,7,True,lenosa,genero,
Fuchsia lycioides,Onagraceae,0,7,0,7,False,lenosa,especie,
Leontodon,,0,7,0,7,False,herbacea,genero,
Puya alpestris,Bromeliaceae,1,6,0,7,True,herbacea,especie,
Eucalyptus globulus,Myrtaceae,0,7,0,7,True,lenosa,especie,
Senna candolleana,Fabaceae,0,7,0,7,True,lenosa,especie,
Malesherbia fasciculata,Passifloraceae,0,7,0,7,False,lenosa,especie,
Avena barbata,Poaceae,0,6,0,6,False,herbacea,especie,
Dioscorea variifolia,Dioscoreaceae,6,0,0,6,True,herbacea,especie,
Azara serrata,Salicaceae,0,6,0,6,False,lenosa,especie,
Berberis actinacantha,Berberidaceae,0,6,0,6,False,lenosa,especie,
Berberis chilensis,Berberidaceae,0,6,0,6,True,lenosa,especie,
Acaena argentea,Rosaceae,0,6,0,6,False,herbacea,especie,
Nothofagus x leonii,,0,6,0,6,True,lenosa,genero,
Sophora cassioides,Fabaceae,0,6,0,6,False,lenosa,especie,
Schinus velutinus,Anacardiaceae,0,5,1,6,True,lenosa,especie,
Viola pusilla,Violaceae,6,0,0,6,True,herbacea,especie,
Perezia linearis,Asteraceae,0,6,0,6,False,herbacea,especie,
Lobelia excelsa,Campanulaceae,0,6,0,6,False,lenosa,especie,
Haplopappus velutinus,Asteraceae,0,6,0,6,False,lenosa,especie,
Rubus,,0,6,0,6,False,,,
Colliguaja dombeyana,Euphorbiaceae,0,6,0,6,True,lenosa,especie,
Chiropetalum tricuspidatum,Euphorbiaceae,0,6,0,6,False,lenosa,genero,
Briza minor,Poaceae,0,6,0,6,False,herbacea,especie,
Nardophyllum lanatum,Asteraceae,0,6,0,6,True,lenosa,especie,
Cynosurus echinatus,Poaceae,0,6,0,6,False,herbacea,especie,
Baccharis obovata,Asteraceae,0,5,0,5,False,lenosa,especie,
Berberis horrida,Berberidaceae,0,5,0,5,False,lenosa,genero,
Pleocarphus revolutus,Asteraceae,4,1,0,5,True,lenosa,especie,
Monttea chilensis,Plantaginaceae,5,0,0,5,True,lenosa,especie,
Plectocephalus chilensis,Asteraceae,0,5,0,5,False,lenosa,genero,
Raukaua laetevirens,Araliaceae,0,5,0,5,False,,,
Lobelia polyphylla,Campanulaceae,0,5,0,5,True,lenosa,especie,
Baccharis,,0,5,0,5,False,,,
Puya coerulea,Bromeliaceae,0,5,0,5,False,herbacea,especie,
Relchela panicoides,Poaceae,0,5,0,5,False,herbacea,especie,
Neltuma chilensis,,0,5,0,5,True,lenosa,manual,arbol; antes Prosopis chilensis
Nothofagus leonii,Nothofagaceae,0,0,5,5,True,lenosa,genero,
Trifolium arvense,Fabaceae,0,5,0,5,False,herbacea,especie,
Lepechinia salviae,Lamiaceae,0,5,0,5,True,lenosa,especie,
Calendula arvensis,Asteraceae,5,0,0,5,True,herbacea,especie,
Malva parviflora,Malvaceae,5,0,0,5,True,herbacea,especie,
Quinchamalium chilense,Schoepfiaceae,4,1,0,5,True,herbacea,especie,
Clarkia tenella,Onagraceae,5,0,0,5,True,herbacea,especie,
Spergularia,,5,0,0,5,True,,sin_resolver,genero mixto; la base no identifica la especie
Eriosyce curvispina,Cactaceae,0,5,0,5,False,lenosa,especie,
Chorizanthe gajardoi,Polygonaceae,5,0,0,5,True,herbacea,especie,
Acrisione denticulata var. denticulata,,0,4,0,4,True,lenosa,especie,
Verbena,,4,0,0,4,True,,sin_resolver,genero mixto; la base no identifica la especie
Boquila trifoliolata,Lardizabalaceae,0,4,0,4,False,lenosa,especie,
Otholobium glandulosum,Fabaceae,0,4,0,4,True,lenosa,especie,
Cuscuta,,4,0,0,4,True,herbacea,genero,
Solenomelus pedunculatus,Iridaceae,0,4,0,4,False,herbacea,especie,
Galium diffusoramosum,Rubiaceae,0,4,0,4,False,herbacea,especie,
Cistanthe grandiflora,Montiaceae,4,0,0,4,True,herbacea,especie,
Ophryosporus paradoxus,Asteraceae,3,1,0,4,True,lenosa,especie,
Pleurophora polyandra,Lythraceae,4,0,0,4,True,herbacea,especie,
Haplopappus angustifolius,Asteraceae,4,0,0,4,True,lenosa,especie,
Poaceae,,0,4,0,4,False,,,
Puya berteroniana,Bromeliaceae,0,4,0,4,False,herbacea,especie,
Cytisus striatus,Fabaceae,0,4,0,4,False,lenosa,especie,
Acrisione denticulata var. pilota,,0,4,0,4,False,lenosa,especie,
Oxalis virgosa,Oxalidaceae,0,4,0,4,False,,,
Salvia,,0,4,0,4,False,,,
Colletia spinosissima,Rhamnaceae,0,4,0,4,False,lenosa,especie,
Beilschmiedia berteroana,Lauraceae,0,2,2,4,True,lenosa,especie,
Schinus polygamus,Anacardiaceae,0,0,4,4,True,lenosa,especie,
