"species","genus","family","status"
"Crocosmia x","Crocosmia","Iridaceae","bind"
"Diplolepis menziesii","Diplolepis","Apocynaceae","prune"
"Gastridium phleoides","Gastridium","Poaceae","bind"
"Tolpis barbata","Tolpis","Asteraceae","prune"
"Trifolium arvense","Trifolium","Fabaceae","prune"
"Festuca bromoides","Festuca","Poaceae","bind"
"Acaena argentea","Acaena","Rosaceae","prune"
"Relchela panicoides","Relchela","Poaceae","bind"
"Libertia sessiliflora","Libertia","Iridaceae","prune"
"Solenomelus pedunculatus","Solenomelus","Iridaceae","prune"
"Viola portalesia","Viola","Violaceae","bind"
"Alstroemeria ligtu","Alstroemeria","Alstroemeriaceae","prune"
"Cardamine hirsuta","Cardamine","Brassicaceae","prune"
"Cyclospermum laciniatum","Cyclospermum","Apiaceae","bind"
"Senecio sylvaticus","Senecio","Asteraceae","prune"
"Silene gallica","Silene","Caryophyllaceae","prune"
"Stachys grandidentata","Stachys","Lamiaceae","bind"
"Lactuca virosa","Lactuca","Asteraceae","prune"
"Tropaeolum ciliatum","Tropaeolum","Tropaeolaceae","bind"
"Adiantum poiretii","Adiantum","Pteridaceae","bind"
"Loasa triloba","Loasa","Loasaceae","bind"
"Miersia chilensis","Miersia","Amaryllidaceae","prune"
"Osmorhiza chilensis","Osmorhiza","Apiaceae","prune"
"Sanicula crassicaulis","Sanicula","Apiaceae","prune"
"Gamochaeta americana","Gamochaeta","Asteraceae","bind"
"Leontodon saxatilis","Leontodon","Asteraceae","prune"
"Lolium multiflorum","Lolium","Poaceae","prune"
"Lupinus microcarpus","Lupinus","Fabaceae","prune"
"Rosa rubiginosa","Rosa","Rosaceae","prune"
"Sanguisorba minor","Sanguisorba","Rosaceae","prune"
"Festuca muralis","Festuca","Poaceae","bind"
"Vitis vinifera","Vitis","Vitaceae","prune"
"Sisyrinchium graminifolium","Sisyrinchium","Iridaceae","prune"
"Pasithea caerulea","Pasithea","Asphodelaceae","prune"
"Calceolaria meyeniana","Calceolaria","Calceolariaceae","bind"
"Gaultheria insana","Gaultheria","Ericaceae","prune"
"Ugni molinae","Ugni","Myrtaceae","prune"
"Azorella spinosa","Azorella","Apiaceae","prune"
"Baccharis obovata","Baccharis","Asteraceae","bind"
"Escallonia rubra","Escallonia","Escalloniaceae","prune"
"Adesmia elegans","Adesmia","Fabaceae","bind"
"Nassella chilensis","Nassella","Poaceae","bind"
"Colliguaja dombeyana","Colliguaja","Euphorbiaceae","bind"
"Piptochaetium montevidense","Piptochaetium","Poaceae","prune"
"Nassella gibba","Nassella","Poaceae","bind"
"Podocarpus salignus","Podocarpus","Podocarpaceae","prune"
"Podagrostis sesquiflora","Podagrostis","Poaceae","bind"
"Danthonia malacantha","Danthonia","Poaceae","bind"
"Acmispon subpinnatus","Acmispon","Fabaceae","bind"
"Carduus pycnocephalus","Carduus","Asteraceae","prune"
"Dioscorea bryoniifolia","Dioscorea","Dioscoreaceae","bind"
"Facelis retusa","Facelis","Asteraceae","prune"
"Logfia gallica","Logfia","Asteraceae","bind"
"Rubus ulmifolius","Rubus","Rosaceae","prune"
"Baccharis concava","Baccharis","Asteraceae","bind"
"Myrceugenia exsucca","Myrceugenia","Myrtaceae","prune"
"Echinopsis chiloensis","Echinopsis","Cactaceae","prune"
"Tristerix aphyllus","Tristerix","Loranthaceae","prune"
"Adesmia confusa","Adesmia","Fabaceae","bind"
"Lycium chilense","Lycium","Solanaceae","prune"
"Porlieria chilensis","Porlieria","Zygophyllaceae","prune"
"Spinoliva ilicifolia","Spinoliva","Asteraceae","bind"
"Malesherbia fasciculata","Malesherbia","Passifloraceae","prune"
"Diplolepis geminiflora","Diplolepis","Apocynaceae","prune"
"Adesmia resinosa","Adesmia","Fabaceae","bind"
"Baccharis neaei","Baccharis","Asteraceae","bind"
"Chuquiraga oppositifolia","Chuquiraga","Asteraceae","prune"
"Fabiana imbricata","Fabiana","Solanaceae","prune"
"Galium suffruticosum","Galium","Rubiaceae","bind"
"Mutisia ilicifolia","Mutisia","Asteraceae","bind"
"Nothofagus macrocarpa","Nothofagus","Nothofagaceae","prune"
"Senecio anthemidiphyllus","Senecio","Asteraceae","bind"
"Clinopodium chilense","Clinopodium","Lamiaceae","bind"
"Calceolaria densifolia","Calceolaria","Calceolariaceae","bind"
"Haplopappus velutinus","Haplopappus","Asteraceae","prune"
"Mutisia latifolia","Mutisia","Asteraceae","bind"
"Calceolaria angustifolia","Calceolaria","Calceolariaceae","bind"
"Azara serrata","Azara","Salicaceae","prune"
"Puya coerulea","Puya","Bromeliaceae","prune"
"Adesmia loudonia","Adesmia","Fabaceae","bind"
"Eriosyce curvispina","Eriosyce","Cactaceae","prune"
"Senecio farinifer","Senecio","Asteraceae","prune"
"Tetraglochin alata","Tetraglochin","Rosaceae","bind"
"Calceolaria corymbosa","Calceolaria","Calceolariaceae","bind"
"Adesmia pirionii","Adesmia","Fabaceae","bind"
"Escallonia myrtoidea","Escallonia","Escalloniaceae","prune"
"Archidasyphyllum excelsum","Archidasyphyllum","Asteraceae","bind"
"Chorizanthe virgata","Chorizanthe","Polygonaceae","bind"
"Baccharis salicifolia","Baccharis","Asteraceae","bind"
"Ercilla spicata","Ercilla","Phytolaccaceae","prune"
"Crinodendron patagua","Crinodendron","Elaeocarpaceae","prune"
"Baccharis macraei","Baccharis","Asteraceae","bind"
"Sphaeralcea obtusiloba","Sphaeralcea","Malvaceae","bind"
"Berberis horrida","Berberis","Berberidaceae","prune"
"Escallonia leucantha","Escallonia","Escalloniaceae","prune"
"Myrceugenia pinifolia","Myrceugenia","Myrtaceae","prune"
"Berberis chilensis","Berberis","Berberidaceae","prune"
"Haplopappus grindelioides","Haplopappus","Asteraceae","bind"
"Podanthus ovatifolius","Podanthus","Asteraceae","bind"
"Puya chilensis","Puya","Bromeliaceae","prune"
"Prosopis chilensis","Prosopis","Fabaceae","prune"
"Crataegus monogyna","Crataegus","Rosaceae","prune"
"Azara lanceolata","Azara","Salicaceae","bind"
"Gaultheria mucronata","Gaultheria","Ericaceae","prune"
"Viola rubella","Viola","Violaceae","prune"
"Chusquea quila","Chusquea","Poaceae","bind"
"Eucryphia glutinosa","Eucryphia","Cunoniaceae","bind"
"Blepharocalyx cruckshanksii","Blepharocalyx","Myrtaceae","prune"
"Desfontainia spinosa","Desfontainia","Columelliaceae","prune"
"Lomatia ferruginea","Lomatia","Proteaceae","prune"
"Nothofagus alpina","Nothofagus","Nothofagaceae","prune"
"Ribes magellanicum","Ribes","Grossulariaceae","prune"
"Azara microphylla","Azara","Salicaceae","bind"
"Sophora cassioides","Sophora","Fabaceae","bind"
"Dasyphyllum diacanthoides","Dasyphyllum","Asteraceae","prune"
"Saxegothaea conspicua","Saxegothaea","Podocarpaceae","prune"
"Beilschmiedia berteroana","Beilschmiedia","Lauraceae","prune"
"Myrceugenia correifolia","Myrceugenia","Myrtaceae","prune"
"Schinus molle","Schinus","Anacardiaceae","prune"
"Senna candolleana","Senna","Fabaceae","prune"
"Trevoa quinquenervia","Trevoa","Rhamnaceae","bind"
"Caldcluvia paniculata","Caldcluvia","Cunoniaceae","prune"
"Eucryphia cordifolia","Eucryphia","Cunoniaceae","prune"
"Greigia sphacelata","Greigia","Bromeliaceae","prune"
"Jovellana punctata","Jovellana","Calceolariaceae","prune"
"Laureliopsis philippiana","Laureliopsis","Atherospermataceae","bind"
"Myrceugenia leptospermoides","Myrceugenia","Myrtaceae","prune"
"Austrocedrus chilensis","Austrocedrus","Cupressaceae","prune"
"Myrceugenia rufa","Myrceugenia","Myrtaceae","prune"
"Pittosporum undulatum","Pittosporum","Pittosporaceae","prune"
"Gayella valparadisaea","Gayella","Sapotaceae","bind"
"Myrceugenia planipes","Myrceugenia","Myrtaceae","prune"
"Cupressus macrocarpa","Cupressus","Cupressaceae","prune"
"Olea europaea","Olea","Oleaceae","prune"
"Berberis empetrifolia","Berberis","Berberidaceae","prune"
"Myrceugenia lanceolata","Myrceugenia","Myrtaceae","prune"
"Acer pseudoplatanus","Acer","Sapindaceae","prune"
"Amomyrtus luma","Amomyrtus","Myrtaceae","prune"
"Embothrium coccineum","Embothrium","Proteaceae","prune"
"Weinmannia trichosperma","Weinmannia","Cunoniaceae","prune"
"Discaria chacaye","Discaria","Rhamnaceae","prune"
"Griselinia ruscifolia","Griselinia","Griseliniaceae","prune"
"Amomyrtus meli","Amomyrtus","Myrtaceae","prune"
"Coriaria ruscifolia","Coriaria","Coriariaceae","prune"
"Myrceugenia ovata","Myrceugenia","Myrtaceae","prune"
"Gomortega keule","Gomortega","Gomortegaceae","prune"
"Nothofagus alessandrii","Nothofagus","Nothofagaceae","bind"
"Acacia melanoxylon","Acacia","Fabaceae","prune"
"Fraxinus excelsior","Fraxinus","Oleaceae","prune"
"Populus nigra","Populus","Salicaceae","prune"
"Maytenus disticha","Maytenus","Celastraceae","prune"
"Maytenus magellanica","Maytenus","Celastraceae","prune"
"Schinus latifolius","Schinus","Anacardiaceae","bind"
"Clinopodium multiflorum","Clinopodium","Lamiaceae","prune"
"Nothofagus x","Nothofagus","Nothofagaceae","bind"
"Pitavia punctata","Pitavia","Rutaceae","prune"
"Puya alpestris","Puya","Bromeliaceae","prune"
"Haplopappus coquimbensis","Haplopappus","Asteraceae","bind"
"Jubaea chilensis","Jubaea","Arecaceae","prune"
"Schinus velutinus","Schinus","Anacardiaceae","bind"
"Discaria articulata","Discaria","Rhamnaceae","bind"
"Eriosyce aurata","Eriosyce","Cactaceae","prune"
"Proustia ilicifolia","Proustia","Asteraceae","bind"
"Nardophyllum chiliotrichoides","Nardophyllum","Asteraceae","prune"
"Escallonia revoluta","Escallonia","Escalloniaceae","prune"
"Haplopappus canescens","Haplopappus","Asteraceae","bind"
"Haplopappus schumannii","Haplopappus","Asteraceae","bind"
"Euphorbia collina","Euphorbia","Euphorbiaceae","bind"
"Adesmia hemisphaerica","Adesmia","Fabaceae","bind"
"Nardophyllum lanatum","Nardophyllum","Asteraceae","bind"
"Baccharis poeppigiana","Baccharis","Asteraceae","bind"
"Argylia adscendens","Argylia","Bignoniaceae","bind"
"Viviania marifolia","Viviania","Francoaceae","prune"
"Calceolaria segethii","Calceolaria","Calceolariaceae","bind"
"Salix humboldtiana","Salix","Salicaceae","prune"
"Haplopappus baylahuen","Haplopappus","Asteraceae","bind"
"Adesmia pedicellata","Adesmia","Fabaceae","bind"
"Cumulopuntia sphaerica","Cumulopuntia","Cactaceae","prune"
"Monttea chilensis","Monttea","Plantaginaceae","prune"
"Adesmia zoellneri","Adesmia","Fabaceae","bind"
"Haplopappus pulchellus","Haplopappus","Asteraceae","bind"
"Pleurophora pungens","Pleurophora","Lythraceae","bind"
"Haplopappus angustifolius","Haplopappus","Asteraceae","bind"
"Haplopappus glutinosus","Haplopappus","Asteraceae","prune"
"Adesmia filifolia","Adesmia","Fabaceae","bind"
"Adesmia tenella","Adesmia","Fabaceae","bind"
"Bowlesia uncinata","Bowlesia","Apiaceae","prune"
"Bromus berteroanus","Bromus","Poaceae","bind"
"Calandrinia compressa","Calandrinia","Montiaceae","prune"
