run_id,family,features,index,substrate,fusion,model,facet,target,n,seeds,R2,R2_sd,nRMSE,RMSE,Bias,nBias,spearman
C2D02_serpentine_savi,C2D,topo+area,savi,serpentine,late,C2D-B,alpha,hill_q2,1082,3,0.23244332882737018,0.035633372807874264,0.16485048558646834,2.6376077693834943,-0.0475819264748134,-0.002973870404675838,0.4798863530769378
C2D07_hilbert_evi,C2D,topo+area,evi,hilbert,late,C2D-B,alpha,hill_q2,1082,3,0.23045503328488534,0.012168244386434742,0.16508977577821413,2.641436412451427,-0.08178832526937946,-0.0051117703293362135,0.47653620597351093
RF02_lsp-qc-topo-area_savi,RF,lsp+qc+topo+area,savi,,none,RF,alpha,hill_q2,1082,3,0.2296144038633269,0.003016251906185257,0.1651831460080835,2.642930336129336,-0.30632928539574733,-0.019145580337234205,0.5177094226783959
C1D01_curve1d_savi,C1D,topo+area,savi,curve1d,late,C1D-B,alpha,hill_q2,1082,3,0.2284268192984236,0.007354852111387494,0.1653093725463695,2.6449499607419127,-0.0696791197104894,-0.004354944981905587,0.4640248372581591
RF02_lsp-qc-topo-area_evi,RF,lsp+qc+topo+area,evi,,none,RF,alpha,hill_q2,1082,3,0.22803969268484472,0.004344601033162237,0.16535165684547756,2.6456265095276414,-0.298586465733292,-0.018661654108330747,0.5082999796158155
C1D01_curve1d_evi,C1D,topo+area,evi,curve1d,late,C1D-B,alpha,hill_q2,1082,3,0.224152978899234,0.013595113511001544,0.16576358387103327,2.6522173419365327,-0.0981940754066243,-0.0061371297129140185,0.46177102624943545
C1D01_curve1d_kndvi,C1D,topo+area,kndvi,curve1d,late,C1D-B,alpha,hill_q2,1082,3,0.21941317826712184,0.03234023043267257,0.16624979471021453,2.6599967153634334,-0.041461030792188235,-0.0025913144245117647,0.4757556628439139
C2D01_reshape_evi,C2D,topo+area,evi,reshape,late,C2D-B,alpha,hill_q2,1082,3,0.21764089731558275,0.0170793675314024,0.1664554124731569,2.6632865995705113,-0.00950728171568344,-0.0005942051072302153,0.46626594164822993
C1D01_curve1d_nbr_v2,C1D,topo+area,nbr,curve1d,late,C1D-B,alpha,hill_q2,1082,3,0.2175656393645334,0.00998063030986185,0.16646781168470867,2.663484986955339,-0.13766565359690222,-0.008604103349806389,0.4192740727199194
C1D01_curve1d_kndvi_v2,C1D,topo+area,kndvi,curve1d,late,C1D-B,alpha,hill_q2,1082,3,0.21743947306219483,0.04835538382012162,0.16643140206044943,2.6629024329671913,-0.0622833402528119,-0.0038927087658007426,0.442407338517582
C1D01_curve1d_ndvi_v2,C1D,topo+area,ndvi,curve1d,late,C1D-B,alpha,hill_q2,1082,3,0.210517043446818,0.02620368417495753,0.16720298233688466,2.675247717390155,-0.056253639542393534,-0.003515852471399595,0.43980195244875414
C2D10_stack5,C2D,topo+area,,stack5,late,C2D-B,alpha,hill_q2,1082,3,0.2065818299130797,0.03979267028994932,0.16759935164287476,2.6815896262859966,-0.09555210528008755,-0.005972006580005468,0.4312007427326255
C2D07_hilbert_kndvi_patchctx,C2D,topo+area,kndvi,hilbert,patchctx,C2D-B,alpha,hill_q2,1082,3,0.20433862292004026,0.027173871189369637,0.16785509410307342,2.6856815056491747,0.032822128409299045,0.0020513830255811903,0.4371490449216293
RF08_lsp-curve-topo_evi,RF,lsp+curve+topo,evi,,none,RF,alpha,hill_q2,1082,3,0.20373403679251664,0.006705935904895184,0.16793403565936768,2.6869445705498833,-0.27806472039031344,-0.017379045024394583,0.4837930577231078
C2D07_hilbert_kndvi_none,C2D,topo+area,kndvi,hilbert,none,C2D-B,alpha,hill_q2,1082,3,0.2027604957502527,0.025028255435881143,0.16802375871844685,2.68838013949515,0.022490438351858877,0.0014056523969911796,0.4368630377831905
C2D02_serpentine_kndvi_patch,C2D,topo+area,kndvi,serpentine,patch,C2D-B,alpha,hill_q2,1082,3,0.20162539552890868,0.015074580217681073,0.16815222707863264,2.6904356332581236,0.03889842923769123,0.0024311518273557016,0.44662409382193236
C2D07_hilbert_kndvi_patch,C2D,topo+area,kndvi,hilbert,patch,C2D-B,alpha,hill_q2,1082,3,0.20114572183994237,0.05170273768704846,0.1681478578525806,2.6903657256412905,0.042979457658221164,0.002686216103638823,0.41572950907511314
C2D02_serpentine_kndvi_patchctx,C2D,topo+area,kndvi,serpentine,patchctx,C2D-B,alpha,hill_q2,1082,3,0.19963289749976088,0.023297479129903986,0.16835499021358555,2.6936798434173688,0.03988361487011174,0.0024927259293819827,0.4429731693174725
RF08_lsp-curve-topo_savi,RF,lsp+curve+topo,savi,,none,RF,alpha,hill_q2,1082,3,0.19497442712705718,0.0036209905782434624,0.1688559300848164,2.701694881357063,-0.2854619022981692,-0.01784136889363557,0.47921508720112255
RF08_lsp-curve-topo_nbr,RF,lsp+curve+topo,nbr,,none,RF,alpha,hill_q2,1082,3,0.193862977335732,0.007342292676686204,0.1689715732096088,2.7035451713537406,-0.2740172255102265,-0.017126076594389153,0.4762258231713328
C1D01_curve1d_evi_v2,C1D,topo+area,evi,curve1d,late,C1D-B,alpha,hill_q2,1082,3,0.19326105212469527,0.023607269078206834,0.1690238401387937,2.7043814422207,-0.08584141713019759,-0.005365088570637348,0.4121850544389712
B01_topo-area,BASE,topo+area,,,none,RF,alpha,hill_q2,1082,3,0.18629390382249386,0.0018488749062948574,0.16976408160793113,2.716225305726899,-0.20776332956201413,-0.012985208097625878,0.462742695822643
C1D01_curve1d_savi_v2,C1D,topo+area,savi,curve1d,late,C1D-B,alpha,hill_q2,1082,3,0.1821789411275764,0.01602871726485638,0.17018739460916596,2.7229983137466554,-0.08688325051214209,-0.00543020315700888,0.42836834572010934
C2D02_serpentine_kndvi_none,C2D,topo+area,kndvi,serpentine,none,C2D-B,alpha,hill_q2,1082,3,0.1794429363049411,0.02278623579112652,0.17046642211339003,2.727462753814241,0.010846808608744466,0.0006779255380465289,0.44254179201591376
C2D04_mtf_kndvi,C2D,topo+area,kndvi,mtf,late,C2D-B,alpha,hill_q2,1082,3,0.17711887640333387,0.014583528081841645,0.17071411400147943,2.7314258240236717,-0.05388346881511653,-0.0033677168009447825,0.3537472725982935
C2D03_gaf_kndvi,C2D,topo+area,kndvi,gaf,late,C2D-B,alpha,hill_q2,1082,3,0.1710427507598723,0.012749804237763614,0.17134433190420628,2.741509310467301,-0.05778212295819593,-0.0036113826848872457,0.37458498180830846
C2D08_cos2d_kndvi,C2D,topo+area,kndvi,cos2d,late,C2D-B,alpha,hill_q2,1082,3,0.12562348817756866,0.012579806661235132,0.175976205352768,2.8156192856442885,-0.010658710670135728,-0.0006661694168834824,0.39507821100041357
C2D05_ndi_kndvi,C2D,topo+area,kndvi,ndi,late,C2D-B,alpha,hill_q2,1082,3,0.09874042512773863,0.012519795657191175,0.1786611784985804,2.8585788559772873,-0.0508090058868264,-0.0031755628679266488,0.2846042206266375
C2D07_hilbert_kndvi_nglobal,C2D,topo+area,kndvi,hilbert,late,C2D-B,alpha,hill_q2,1082,3,0.0324232380071734,0.012310445480610409,0.18511816887882607,2.961890702061217,-0.07004914832402707,-0.00437807177025169,0.18244073169314723
C2D02_serpentine_kndvi_nglobal,C2D,topo+area,kndvi,serpentine,late,C2D-B,alpha,hill_q2,1082,3,0.028299150185773933,0.019286216587730484,0.18550868274793678,2.9681389239669898,-0.061507474120191176,-0.0038442171325119463,0.1676252898743079
B02_area,BASE,area,,,none,RF,alpha,hill_q2,1082,3,0.020338400191947867,0.0076118186338998625,0.18627221044456932,2.9803553671131104,0.02330143158969297,0.0014563394743558097,0.3657402231521976
B00_area,BASE,area,,,none,mean,alpha,hill_q2,1082,3,-0.006368478550686001,0.0016547565391707212,0.1887950594342007,3.020720950947212,-0.09034109820227597,-0.005646318637642246,-0.02205573847955643
B03_coords,BASE,coords,,,none,RF,beta_cover,lcbd_cover,546,3,0.411305849841959,0.006843025410886599,0.2040335718902321,0.0002813590947346667,-1.0994545049633997e-05,-0.00797292975334679,0.6156969531531971
MLP07_curve_all,MLP,curve_all,,tabular,late,MLP-A,beta_cover,lcbd_cover,546,5,0.37627766405600777,0.018509848041181425,0.2099996894414098,0.00028958627724060004,-2.068021711330004e-05,-0.0149967022358796,0.600394439294137
MLP06_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-B,beta_cover,lcbd_cover,546,5,0.370167157213671,0.023634751983958726,0.2110151996124779,0.00029098664983506,-1.8738493519725093e-05,-0.013588619796623758,0.5930828450507051
C2D02_serpentine_kndvi_ctxclim-topo-area,C2D,clim+topo+area,kndvi,serpentine,late,C2D-B,beta_cover,lcbd_cover,546,5,0.35834829647465505,0.01924861195067692,0.2129965414369861,0.00029371888912754004,-2.126909676924509e-05,-0.015423740927233065,0.5813881277924382
MLP04_curve_all,MLP,curve_all,,tabular,late,MLP-A,beta_cover,lcbd_cover,546,3,0.3467706950049832,0.021183363460949907,0.21491007656726,0.00029635762405243334,-2.0917177049004858e-05,-0.015168538806942097,0.579109398052889
C2D02_serpentine_kndvi_v2,C2D,topo+area,kndvi,serpentine,late,C2D-B,beta_cover,lcbd_cover,546,3,0.34458777655253514,0.010024236141402725,0.21528334879163058,0.00029687236059389995,-2.787619888530998e-05,-0.020215022495207118,0.5762194144205567
C2D01_reshape_nbr,C2D,topo+area,nbr,reshape,late,C2D-B,beta_cover,lcbd_cover,546,3,0.34063880182480827,0.03064921311488246,0.21589669084550941,0.0002977181496640333,-1.7014217846108977e-05,-0.012338224372430111,0.5729348216755966
C2D01_reshape_kndvi_ctxclim-topo-area,C2D,clim+topo+area,kndvi,reshape,late,C2D-B,beta_cover,lcbd_cover,546,5,0.3393667723383858,0.020047766454473055,0.21612357591004683,0.00029803102060862,-2.1734642356683214e-05,-0.01576134127803075,0.5654299774420378
C2D01_reshape_kndvi_v2,C2D,topo+area,kndvi,reshape,late,C2D-B,beta_cover,lcbd_cover,546,3,0.3384669511240144,0.005171336474792905,0.2162894028643786,0.00029825969337713337,-2.841294997263839e-05,-0.020604259038872683,0.5672454570325225
MLP02_curve_nbr,MLP,curve,nbr,tabular,late,MLP-B,beta_cover,lcbd_cover,546,3,0.3378036403880236,0.01397495618565889,0.2163908605978607,0.00029839960199993333,-2.440639188298105e-05,-0.017698817653410345,0.5685021077119662
MLP05a_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-A,beta_cover,lcbd_cover,546,3,0.3375262684294466,0.006612309056054982,0.21644242499623223,0.00029847070849633333,-2.3478698245391957e-05,-0.01702608074872398,0.563852373766212
MLP05c_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-C,beta_cover,lcbd_cover,546,3,0.3370778166695489,0.009250402788816137,0.21651397419725094,0.00029856937372206663,-2.583274177132408e-05,-0.018733165815350224,0.5623342290379444
MLP02_curve_evi,MLP,curve,evi,tabular,late,MLP-B,beta_cover,lcbd_cover,546,3,0.3296229949143994,0.01382340665758684,0.21772374877051567,0.0003002376338795,-2.0858047496731956e-05,-0.015125659746054917,0.5572201430948734
C1D01_curve1d_kndvi_ctxclim-topo-area,C1D,clim+topo+area,kndvi,curve1d,late,C1D-B,beta_cover,lcbd_cover,546,5,0.32953014699206645,0.029299422559377692,0.21770580896368102,0.00030021289516734005,-2.1892799729410587e-05,-0.01587603248326327,0.5567414319382005
MLP03_lsp-curve-qc_kndvi,MLP,lsp+curve+qc,kndvi,tabular,late,MLP-B,beta_cover,lcbd_cover,546,3,0.3275894692120078,0.013125817729910524,0.21805454206967814,0.00030069379264953335,-2.4951840300977633e-05,-0.018094361252634212,0.5583740528508296
MLP02_curve_ndvi,MLP,curve,ndvi,tabular,late,MLP-B,beta_cover,lcbd_cover,546,3,0.3271744137400721,0.005076670137138774,0.21812772189425966,0.0003007947064796,-2.6079422211745182e-05,-0.018912051418539758,0.5564263210655348
C2D07_hilbert_nbr,C2D,topo+area,nbr,hilbert,late,C2D-B,beta_cover,lcbd_cover,546,3,0.32517651054889823,0.02109638980830048,0.21843462262659388,0.0003012179177748,-2.2297380648611803e-05,-0.016169422999539242,0.5565324099410495
MLP02_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-B,beta_cover,lcbd_cover,546,3,0.3239859664010735,0.019029501364142443,0.21863053548575154,0.0003014880785340667,-2.4499164624720076e-05,-0.017766093793492685,0.5593197959134509
C2D02_serpentine_kndvi_noaug,C2D,topo+area,kndvi,serpentine,late,C2D-B,beta_cover,lcbd_cover,546,3,0.32333928583470223,0.02554253639195164,0.2187238403069873,0.0003016167444187667,-2.7625579191192793e-05,-0.020033280257853007,0.5527424085191529
