run_id,family,substrate,alpha,beta_pa,beta_cover,phylo,dark,mean
C2D01_reshape_kndvi_ctxclim-topo-area,C2D,reshape,0.45532245034958263,0.4870907527134186,0.3042595643722881,0.16376684638982242,0.37951348819958064,0.35799062040493845
C2D02_serpentine_kndvi_ctxclim-topo-area_maeall_m075,C2D,serpentine,0.4655146487420139,0.48634741316570707,0.2970880670071388,0.15989199528407147,0.3801176486692183,0.3577919545736299
C2D02_serpentine_kndvi_linear_shrink_ctxclim-topo-area,C2D,serpentine,0.45694212229172265,0.4871583696349696,0.3090078934835402,0.16519681909754852,0.37019937686377663,0.3577009162743115
C2D02_serpentine_kndvi_ctxclim-topo-area_maekndvi_m06,C2D,serpentine,0.46590018386769444,0.48089650926694893,0.2912202829077808,0.16255039728171222,0.38289261466912666,0.3566919975986526
C2D02_serpentine_kndvi_whittaker_shrink_ctxclim-topo-area,C2D,serpentine,0.4528945612179659,0.4864987125918425,0.3016065068975088,0.17231352812692002,0.36955640860580674,0.3565739434880088
C2D02_serpentine_kndvi_ctxclim-topo-area_maeall_m06,C2D,serpentine,0.4542746425961166,0.4772293730384782,0.2930291320529377,0.17354053443696466,0.38423357671506375,0.3564614517679122
C2D02_serpentine_kndvi_linear_shrink_wC_noaug_ctxclim-topo-area,C2D,serpentine,0.4464679466505188,0.4952974201761741,0.30679768588919987,0.1420891886290187,0.3894595726013947,0.35602236278926125
C2D02_serpentine_kndvi_linear_reflect_ctxclim-topo-area,C2D,serpentine,0.45542081729838074,0.4855748591555585,0.29799377942331673,0.16547874961141776,0.3725877821848214,0.3554111975346991
C2D02_serpentine_kndvi_linear_shrink_noaug_ctxclim-topo-area_se,C2D,serpentine,0.45209391425524525,0.48426541898532605,0.3024846948952548,0.1674299152164485,0.3703101688437532,0.35531682243920554
C2D02_serpentine_kndvi_linear_shrink_noaug_ctxclim-topo-area_pcon02,C2D,serpentine,0.45839808090891143,0.4853452454000201,0.30008774862143045,0.16866360210947132,0.3640058348627859,0.3553001023805239
C2D02_serpentine_kndvi_savgol_shrink_ctxclim-topo-area,C2D,serpentine,0.45457729847174844,0.47854518968170623,0.2936901596509559,0.16351195730283735,0.38333391342507556,0.3547317037064647
C2D02_serpentine_kndvi_savgol_reflect_ctxclim-topo-area,C2D,serpentine,0.4503222147960098,0.48462021502195146,0.29907723571558464,0.16696432683395257,0.37165258486957437,0.35452731544741456
