sample_id,X,Y,lon,lat,year,win_start,win_end,cell,mb_code,mb_class,mb_year_used,mb_delta,n_obs,DI,inside
U006705,293333.8877603468,6490680.9423958585,-71.18068258078209,-31.700613987524505,2021,2019,2021,29_649,66,Shrubland,2021,0,181,0.13283411062268638,True
U006706,287619.8657687425,6487488.588807957,-71.24162919138902,-31.72834896296588,2021,2019,2021,29_649,66,Shrubland,2021,0,179,0.31528661825218074,True
U006707,291612.08891044086,6493633.078159416,-71.19821147321329,-31.673686826901807,2021,2019,2021,29_649,66,Shrubland,2021,0,181,0.0859252525886384,True
U006708,288048.60109083937,6489020.686807809,-71.23677503656192,-31.714616111048304,2021,2019,2021,29_649,66,Shrubland,2021,0,186,0.06315085528896688,True
U006709,291848.26255207753,6488261.717151238,-71.19686309687243,-31.72215571602266,2021,2019,2021,29_649,66,Shrubland,2021,0,187,0.2845696758954415,True
U006710,294455.0906513505,6488313.968666004,-71.16935621951886,-31.72215571602266,2021,2019,2021,29_649,12,Grassland,2021,0,184,0.06903255238233087,True
U006711,295177.08786171285,6485431.242591806,-71.16234466254639,-31.748275061826675,2021,2019,2021,29_649,3,Forest,2021,0,187,0.13186270243102427,True
U006694,286236.1640222577,6491342.9291185,-71.25538263006581,-31.693343654156376,2022,2020,2022,29_649,66,Shrubland,2022,0,186,0.1923293236403324,True
U006695,291730.8626354857,6485212.858824721,-71.19875082374963,-31.74962141985781,2022,2020,2022,29_649,66,Shrubland,2022,0,196,0.19463703587615577,True
U006696,288273.33225725347,6493027.621588856,-71.23353893334385,-31.67853371581389,2022,2020,2022,29_649,66,Shrubland,2022,0,183,0.10340188408483932,True
U006697,293976.47244704654,6493083.127062362,-71.17340134854145,-31.679072259026345,2022,2020,2022,29_649,66,Shrubland,2022,0,206,0.07943179368691776,True
U006698,287713.2558857057,6489163.137187611,-71.24028081504815,-31.71326975301717,2022,2020,2022,29_649,66,Shrubland,2022,0,191,0.15566967504036194,True
U006699,287553.6506864828,6486979.462509917,-71.24243821719354,-31.732926580271737,2022,2020,2022,29_649,66,Shrubland,2022,0,196,0.15738215462165717,True
U006700,289131.8088149723,6489819.43864073,-71.22517900003051,-31.707615049286403,2022,2020,2022,29_649,66,Shrubland,2022,0,203,0.23244361983158515,True
U006701,295101.72253319714,6487938.559732003,-71.16261433781456,-31.72565624690361,2022,2020,2022,29_649,12,Grassland,2022,0,209,0.10383897234628266,True
U006702,290714.6605215414,6488686.804723835,-71.208728808672,-31.718116641929257,2022,2020,2022,29_649,3,Forest,2022,0,198,0.3374303952436309,True
U006712,289538.91795533313,6498662.828343779,-71.21898860284364,-31.627962437932972,2017,2015,2017,29_650,66,Shrubland,2017,0,147,0.20222952226690724,True
