run_id,target,kfold5_block20,kfold5_random,kfold5_window,gap_vs_owner,gap_vs_block20
C2D10_stack5,pcoa1_cover,0.1770039697454831,0.2736634546466091,0.2616205270256752,0.012042927620933896,0.09665948490112597
B01_topo-area,hill_q1,0.0614710969575258,0.2382705815943439,0.2271267957073165,0.011143785887027385,0.1767994846368181
RF01_lsp-topo-area_ndvi,hill_q2,0.1595479393922212,0.3019504008177893,0.292135893874426,0.009814506943363277,0.1424024614255681
C2D10_stack5,hill_q2,0.0654901622282311,0.2160286897793872,0.2065818299130797,0.0094468598663075,0.1505385275511561
C1D01_curve1d_kndvi,lcbd_cover,0.0737244710896786,0.2200729486891767,0.2113613733207468,0.008711575368429897,0.1463484775994981
B00_area,pcoa1_cover,-0.0410505372122704,-0.0149511169581799,-0.0216631525583175,0.006712035600137601,0.0260994202540905
RF01_lsp-topo-area_kndvi,hill_q2,0.165233691296512,0.3021207936564107,0.2955786460835946,0.006542147572816126,0.1368871023598987
C1D01_curve1d_kndvi,pcoa1_pa,0.347016857670367,0.5026400719813578,0.4964405753878592,0.006199496593498666,0.15562321431099085
RF01_lsp-topo-area_nbr,hill_q2,0.1673320963332183,0.2819564097172155,0.2775331266263995,0.004423283090815966,0.11462431338399717
B02_area,lcbd_cover,0.0983240753129899,0.2001484092374226,0.1982508689780495,0.0018975402593731094,0.10182433392443271
C2D11_pxcube_kndvi,hill_q2,0.1204810469208074,0.2634485186307483,0.2617107700124849,0.0017377486182634239,0.1429674717099409
B00_area,pcoa2_cover,-0.0587076838827391,-0.0108456070634589,-0.0120621862495601,0.001216579186101201,0.0478620768192802
MLP02_curve_kndvi,pcoa2_pa,0.2879210843281233,0.4505335040493724,0.4494096550230504,0.0011238490263220102,0.16261241972124912
B00_area,hill_q2,-0.0290781585126054,-0.0052483989716949,-0.006368478550686,0.0011200795789910994,0.0238297595409105
B00_area,lcbd_pa,-0.0725897995753651,-0.0148340468137417,-0.0155357935154214,0.0007017467016796983,0.0577557527616234
B00_area,pcoa2_pa,-0.0473552591068911,-0.010632148491611,-0.010850030325377,0.00021788183376600032,0.036723110615280094
C2D10_stack5,pcoa1_pa,0.3588991976629004,0.5050351780546284,0.5057392604444054,-0.0007040823897770387,0.14613598039172798
B00_area,hill_q0,-0.0167312439625155,-0.0073190959307364,-0.0064801071370997,-0.0008389887936366995,0.009412148031779102
B02_area,pcoa2_cover,-0.1085998913754805,0.0149650204479727,0.0159798018171012,-0.0010147813691285014,0.1235649118234532
B02_area,hill_q1,-0.0021451922116443,0.0985448793517,0.1013106279947119,-0.002765748643011892,0.10069007156334431
C1D01_curve1d_kndvi,pcoa2_cover,0.0768888880851699,0.2254077245021007,0.2283766236876765,-0.002968899185575802,0.1485188364169308
B00_area,hill_q1,-0.0303075314513121,-0.0047354165227531,-0.0015976525853056,-0.0031377639374475,0.025572114928559
B00_area,lcbd_cover,-0.0306488378861897,-0.0218762832270581,-0.0181616552106824,-0.0037146280163757005,0.008772554659131598
C1D01_curve1d_kndvi,pcoa1_cover,0.1635319419810144,0.256529610277825,0.2605607465070597,-0.0040311362292346775,0.09299766829681061
B02_area,hill_q0,0.4494282624391352,0.5094935200738377,0.5145715440614544,-0.005078023987616698,0.06006525763470255
C2D11_pxcube_kndvi,pcoa2_cover,0.1244351142267381,0.2131066913710904,0.2185032453793029,-0.005396554008212512,0.0886715771443523
C1D01_curve1d_kndvi,hill_q1,0.1212280077423782,0.2933282645085457,0.2995507930258982,-0.006222528517352499,0.17210025676616753
B01_topo-area,hill_q2,0.0554461497182298,0.1776909495611157,0.1862939038224939,-0.008602954261378193,0.12224479984288589
MLP02_curve_kndvi,pcoa2_cover,0.1052053167798592,0.2537070407752037,0.2628885437236205,-0.009181502948416853,0.14850172399534448
C2D11_pxcube_kndvi,lcbd_cover,0.1238107694883176,0.2282866725914511,0.2404237681500889,-0.01213709555863779,0.10447590310313351
C1D01_curve1d_kndvi,lcbd_pa,0.1774147635697078,0.384724705234139,0.3980042011512099,-0.013279495917070894,0.20730994166443117
C2D10_stack5,lcbd_cover,0.0453636698250082,0.1977584268007425,0.2157390602026556,-0.01798063340191311,0.1523947569757343
C2D11_pxcube_kndvi,hill_q0,0.2331475630646797,0.4742777861790871,0.4936370295608345,-0.019359243381747382,0.2411302231144074
C2D10_stack5,hill_q1,0.0662581060920117,0.2648777400375247,0.2866534131768268,-0.02177567313930212,0.19861963394551296
C2D11_pxcube_kndvi,hill_q1,0.1144575049423538,0.3035763974009664,0.325628605520521,-0.02205220811955455,0.18911889245861263
C1D01_curve1d_kndvi,pcoa2_pa,0.1586821405287206,0.3730657107855538,0.3973154393784139,-0.02424972859286012,0.2143835702568332
C2D10_stack5,pcoa2_cover,0.0820460034697824,0.1987081623353946,0.2310368458926334,-0.03232868355723881,0.1166621588656122
C2D11_pxcube_kndvi,lcbd_pa,0.1857671297525883,0.3767451910105525,0.4164929846998336,-0.03974779368928111,0.19097806125796418
C2D10_stack5,hill_q0,0.1267386697028995,0.4487727976678338,0.4907081528652644,-0.041935355197430635,0.3220341279649343
C2D11_pxcube_kndvi,pcoa2_pa,0.1709664303718855,0.3348760527568975,0.3784420097263758,-0.04356595696947829,0.16390962238501203
C2D10_stack5,pcoa2_pa,0.091282647197946,0.3468324395293716,0.3918335648013786,-0.045001125272007,0.2555497923314256
C2D10_stack5,lcbd_pa,0.1603196837782886,0.3575391865108722,0.4030742074773845,-0.045535020966512296,0.1972195027325836
C1D01_curve1d_kndvi,hill_q0,0.2302511245731789,0.4525201056595804,0.5068202452977996,-0.05430013963821917,0.2222689810864015
B00_area,dark_n,,,-0.0098589208638241,,
B00_area,mntd,,,-0.0063981169444861,,
B00_area,mpd,,,-0.0044794477866734,,
B00_area,ses_mntd,,,-0.0056405364054169,,
B00_area,ses_mpd,,,-0.0052347239677396,,
B00_area,ses_pd,,,-0.0129724754893241,,
B01_topo-area,dark_n,,,0.2689590282657934,,
B01_topo-area,mntd,,,0.1511633287166539,,
B01_topo-area,mpd,,,0.0342872041249721,,
B01_topo-area,ses_mntd,,,0.0795073841960658,,
B01_topo-area,ses_mpd,,,0.0802080197480566,,
B01_topo-area,ses_pd,,,0.0837903308849615,,
B02_area,dark_n,,,0.2278246375996709,,
B02_area,mntd,,,0.186900121624318,,
B02_area,mpd,,,0.0926852018254636,,
B02_area,ses_mntd,,,0.1318549111590626,,
B02_area,ses_mpd,,,0.1210801888217627,,
B02_area,ses_pd,,,0.1300694851335785,,
B03_coords,dark_n,,,0.3820516381795187,,
B03_coords,mntd,,,0.1443447551018601,,
B03_coords,mpd,,,-0.0151330783154672,,
B03_coords,ses_mntd,,,0.0957325807321021,,
B03_coords,ses_mpd,,,0.1086124538085732,,
B03_coords,ses_pd,,,0.1158191690648433,,
C1D01_curve1d_evi,dark_n,,,0.2692942033468721,,
C1D01_curve1d_evi,hill_q0,,,0.5115634203006266,,
C1D01_curve1d_evi,hill_q1,,,0.3063888107574579,,
C1D01_curve1d_evi,hill_q2,,,0.224152978899234,,
C1D01_curve1d_evi,lcbd_cover,,,0.2255551787604991,,
C1D01_curve1d_evi,lcbd_pa,,,0.4100289265979337,,
C1D01_curve1d_evi,mntd,,,0.1887199947999875,,
C1D01_curve1d_evi,mpd,,,0.108755041064304,,
C1D01_curve1d_evi,pcoa1_cover,,,0.2404497532357068,,
C1D01_curve1d_evi,pcoa1_pa,,,0.4705316455299008,,
C1D01_curve1d_evi,pcoa2_cover,,,0.1821519413697807,,
C1D01_curve1d_evi,pcoa2_pa,,,0.3721972784213553,,
C1D01_curve1d_evi,ses_mntd,,,0.1482753596846684,,
C1D01_curve1d_evi,ses_mpd,,,0.143208135445046,,
C1D01_curve1d_evi,ses_pd,,,0.1523066750036024,,
C1D01_curve1d_kndvi,dark_n,,,0.2890998847716444,,
C1D01_curve1d_kndvi,mntd,,,0.1723499871680093,,
C1D01_curve1d_kndvi,mpd,,,0.1167409640798136,,
C1D01_curve1d_kndvi,ses_mntd,,,0.1500958718102347,,
C1D01_curve1d_kndvi,ses_mpd,,,0.1690482699760651,,
C1D01_curve1d_kndvi,ses_pd,,,0.1587666956843403,,
C1D01_curve1d_kndvi_ctxclim-topo-area,dark_n,,,0.3677817535154453,,
C1D01_curve1d_kndvi_ctxclim-topo-area,hill_q0,,,0.5938341018096329,,
C1D01_curve1d_kndvi_ctxclim-topo-area,hill_q1,,,0.4315965503917507,,
C1D01_curve1d_kndvi_ctxclim-topo-area,hill_q2,,,0.3684532775021413,,
C1D01_curve1d_kndvi_ctxclim-topo-area,lcbd_cover,,,0.3295301469920664,,
C1D01_curve1d_kndvi_ctxclim-topo-area,lcbd_pa,,,0.4640864116807975,,
C1D01_curve1d_kndvi_ctxclim-topo-area,mntd,,,0.211330198004283,,
C1D01_curve1d_kndvi_ctxclim-topo-area,mpd,,,0.1373551564643579,,
C1D01_curve1d_kndvi_ctxclim-topo-area,pcoa1_cover,,,0.3147423072963293,,
