run_id,family,features,index,substrate,fusion,model,facet,n_targets,R2,R2_min,R2_max,nRMSE,nBias,nBias_abs,spearman
C2D08_cos2d_kndvi,C2D,topo+area,kndvi,cos2d,late,C2D-B,alpha,3,0.24652387002497042,0.12562348817756866,0.4239697880280135,0.17376483956050606,-0.002909679960057356,0.002909679960057356,0.47178214239678495
B02_area,BASE,area,,,none,RF,alpha,3,0.21207352408270475,0.020338400191947867,0.5145715440614544,0.17598794868679216,-0.0025821671916766305,0.0039974368890606385,0.4550234039626145
C2D04_mtf_kndvi,C2D,topo+area,kndvi,mtf,late,C2D-B,alpha,3,0.14151956774802335,0.08122475053769744,0.17711887640333387,0.18722101167254865,-0.0036432669478151988,0.004956520983540462,0.3984576991456102
C2D03_gaf_kndvi,C2D,topo+area,kndvi,gaf,late,C2D-B,alpha,3,0.1276137903386567,0.0491812310404919,0.1710427507598723,0.18875215146133606,0.0001996262616065688,0.002971436500941777,0.4013896466140962
C2D05_ndi_kndvi,C2D,topo+area,kndvi,ndi,late,C2D-B,alpha,3,0.06458101377489538,0.01699354610484567,0.09874042512773863,0.1954071067304515,-0.0022811662218589135,0.005049489205967723,0.32532226521422697
C2D02_serpentine_kndvi_nglobal,C2D,topo+area,kndvi,serpentine,late,C2D-B,alpha,3,0.03345370557774843,0.028299150185773933,0.04247742804303867,0.1984688340683386,-0.005120013274719659,0.005120013274719659,0.23727087698061225
C2D07_hilbert_kndvi_nglobal,C2D,topo+area,kndvi,hilbert,late,C2D-B,alpha,3,0.02639744721034053,0.0081518724844241,0.0386172311394241,0.1992389287435019,-0.0036102317195639347,0.0036102317195639347,0.23363262369752155
B00_area,BASE,area,,,none,mean,alpha,3,-0.004815412757697123,-0.006480107137099701,-0.0015976525853056668,0.20236889918268386,-0.007038467885342449,0.007038467885342449,-0.001412514475100132
MLP06_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-B,beta_cover,3,0.3453201645216531,0.2794154742934224,0.38637786205786606,0.21161572015261995,0.003127605067244931,0.013143979895900548,0.60836535392843
RF06_curve_all-topo-area,RF,curve_all+topo+area,,,none,RF,beta_cover,3,0.3441162354055775,0.3206458384306197,0.37182356993683535,0.21233777909584353,0.006092467419825466,0.017865178924627554,0.6009503901176284
