run_id,scheme,family,substrate,index,fusion,R2_main,R2_main_sd,R2_main_ens,R2_alpha,R2_beta,R2_beta_cover,hill_q0,hill_q1,hill_q2,lcbd_cover,lcbd_pa,pcoa1_cover,pcoa1_pa,pcoa2_cover,pcoa2_pa
RF04_lsp-curve-topo-area_savi,kfold5_owner,RF,,savi,none,-0.18960801293660964,0.03825859409588713,-0.18572072270105586,-0.5929879912451558,0.21377196537193646,-0.040883978455808635,-0.18875248276845,-0.6711248653967266,-0.9190866255702907,-0.093726166324346,0.1302607532128883,-0.0078904089435692,0.3349819074939526,-0.0210353600995107,0.1760732354089685
RF08_lsp-curve-topo_evi,kfold5_owner,RF,,evi,none,-0.14773080220513055,0.04135259936434738,-0.14388613068434966,-0.5055356414100485,0.21007403699978736,-0.013374464178640735,-0.2196137196321845,-0.5383585042743605,-0.7586347003236004,-0.0386215920471043,0.1240802323171795,-0.0169426462600345,0.3058712788071717,0.0154408457712166,0.2002705998750109
C2D10_stack5,kfold5_block20,C2D,stack5,,late,0.14483141111037953,0.07258643182758083,0.22728805188406365,0.08616231267438075,0.20350050954637833,0.10147121434675789,0.1267386697028995,0.0662581060920117,0.0654901622282311,0.0453636698250082,0.1603196837782886,0.1770039697454831,0.3588991976629004,0.0820460034697824,0.091282647197946
RF05_lsp_all-topo-area,kfold5_owner,RF,,,none,-0.09989994252696503,0.028692317499807166,-0.09627123349963047,-0.4020805115523709,0.2022806264984409,-0.04712143412809561,-0.1399616481031943,-0.4409845082125497,-0.6252953783413687,-0.157037395327517,0.0959723351687701,0.0111271994740514,0.3666380548116042,0.0045458934691788,0.1442314895149483
RF02_lsp-qc-topo-area_nbr,kfold5_owner,RF,,nbr,none,-0.1432187778664268,0.03457811272246325,-0.13904953410219337,-0.48670293669136555,0.2002653809585119,-0.07382427331136937,-0.2039595850825419,-0.5254507841330479,-0.7306984408585068,-0.2350967027824811,0.097504277215627,0.0183793902188584,0.3828603654081745,-0.0047555073704854,0.1204315002517343
RF01_lsp-topo-area_nbr,kfold5_owner,RF,,nbr,none,-0.14324262720089273,0.029040894023736868,-0.13950332751559727,-0.484359365983628,0.19787411158184254,-0.06759863674446366,-0.2105521800314449,-0.5222264181315162,-0.7202994997879228,-0.2298377957086878,0.0952505921859403,0.022931495409023,0.3821232311010926,0.0041103900662738,0.1162485114584948
RF08_lsp-curve-topo_savi,kfold5_owner,RF,,savi,none,-0.13658734018969554,0.04455477728420598,-0.13257790750388332,-0.4705784869566245,0.19740380657723336,-0.024398538746416603,-0.2018575032190789,-0.5116661907378585,-0.6982117669129361,-0.055129767194338,0.1030755913214302,-0.0122652526854443,0.2964417874393411,-0.0058005963594675,0.1926940409709289
C1D01_curve1d_kndvi,kfold5_location,C1D,curve1d,kndvi,late,-0.04777273815797517,0.17542743337567537,0.0706924604315104,-0.2834542339714846,0.18790875765553428,0.00024912304472012964,-0.5306459896515969,-0.1891860152862592,-0.1305306969765977,-0.1085189277320529,0.1677935889385502,0.1242752351178222,0.3573412464583522,-0.0150089382516089,0.0385914375697004
C2D11_pxcube_kndvi_none,kfold5_owner,C2D,pxcube,kndvi,none,-0.1717206521593486,0.2689021448375291,-0.017563367494238157,-0.5110816132974876,0.16764030897879045,-0.09643496821411472,-0.3102617060524976,-0.5418252320699879,-0.6811579017699773,-0.1660637250091639,0.1372805030868692,-0.0842512250377199,0.3168499356016698,-0.0389899545954604,0.0487904882478323
C2D11_pxcube_kndvi,kfold5_location,C2D,pxcube,kndvi,late,-0.05506458501792,0.2296049209216178,0.07681186704211536,-0.27161424123275874,0.16148507119691874,0.0114848670296019,-0.4547982734529702,-0.1982636511994916,-0.1617807990458144,-0.1011968653445525,0.13199785409012,0.1144415173101335,0.3360605157838946,0.0212099491232247,0.0163968437167416
RF01_lsp-topo-area_evi,kfold5_owner,RF,,evi,none,-0.18780720103247658,0.028823821293595436,-0.1842576318697253,-0.5288694229450722,0.15325502088011914,-0.0628511550711797,-0.189112016753002,-0.5687039805670315,-0.8287922715151833,-0.1897988673716314,0.0732685462639863,-0.0003536409511439,0.3243244887739734,0.0015990431092362,0.0621720276023977
RF02_lsp-qc-topo-area_evi,kfold5_owner,RF,,evi,none,-0.18087806005214122,0.030734897477810802,-0.17692170529111917,-0.5098961104819065,0.14813999037762413,-0.07296629896209714,-0.1968799660192695,-0.5538512041488413,-0.7789571612776088,-0.212330527603003,0.0630006591618184,-0.0064654899711791,0.3251584528237514,-0.0001028793121093,0.0562608591473026
RF01_lsp-topo-area_savi,kfold5_owner,RF,,savi,none,-0.19577899011546088,0.036799231805323365,-0.19188629812967206,-0.534112065643568,0.14255408541264614,-0.07274721971484817,-0.1888353136953725,-0.602570202889093,-0.8109306803462383,-0.1993706086142919,0.0611572707803734,0.0033692609527437,0.3062408238057139,-0.0222403114829963,0.0602641616518511
RF02_lsp-qc-topo-area_savi,kfold5_owner,RF,,savi,none,-0.18870753069903853,0.03329641370147584,-0.18487213822306367,-0.5186812352480976,0.14126617385002055,-0.0749671571186917,-0.2020975550939097,-0.5647656094575472,-0.789180541192836,-0.206279057480177,0.0533588232540658,-0.0011778471718002,0.3173252055589975,-0.0174445667040979,0.0531144927369983
B03_coords,kfold5_owner,BASE,,,none,-0.2310928817076189,0.06616231190032672,-0.2266640018302328,-0.5997942082117523,0.13760844479651446,0.008620095107038333,-0.2307304631071461,-0.6673218838007137,-0.9013302777273972,0.0552634984880983,0.0648853910471267,-0.0427854190250744,0.1658321604566317,0.0133822058580911,0.182107782885785
C2D11_pxcube_kndvi_patch,kfold5_owner,C2D,pxcube,kndvi,patch,-0.24782832074895178,0.21349471445662746,-0.1233849116754393,-0.6247964080313064,0.1291397665334028,-0.10240099866430846,-0.4072238456350521,-0.6421438159058976,-0.8250215625529694,-0.2443086624845978,0.1027012086790403,-0.0385807830779779,0.2532626535644491,-0.0243135504303497,0.031455437356719
MLP02_curve_kndvi,kfold5_owner,MLP,tabular,kndvi,late,-0.25048509131975777,0.4184566561294516,-0.046727306241760684,-0.627113865746415,0.12614368310689952,-0.21429256279529982,-0.3756570774022992,-0.8722291096574324,-0.6334554101795136,-0.5133115780910574,0.0745442715616223,-0.079233576461514,0.2586431133342489,-0.050332533833328,0.0452436644248274
MLP02_curve_kndvi,kfold5_dataset,MLP,tabular,kndvi,late,-0.32385053274134673,0.29475739945598084,-0.0990761531777154,-0.7606037652893601,0.1129026998066668,-0.08781358647687991,-0.7992201687728062,-0.7768589138760549,-0.7057322132192196,-0.2065831140934316,0.0856618463569697,-0.0717464780689252,0.1801271501235324,0.0148888327317171,0.0729191029394983
C1D01_curve1d_kndvi,kfold5_dataset,C1D,curve1d,kndvi,late,-0.29012821636754366,0.24641494526752872,-0.06895795625742279,-0.6888008667134149,0.10854443397832768,-0.12335025851442383,-0.7281450228845978,-0.7302549947143218,-0.6080025825413252,-0.2250897657865325,0.0998436539639726,-0.1616962607016367,0.1605583156013462,0.0167352509448977,0.0652313323696642
C2D10_stack5,kfold5_location,C2D,stack5,,late,-0.06471550301714063,0.20128389777649747,0.057812252344198595,-0.2366277117885138,0.10719670575423253,-0.029269410740086405,-0.4512390657275423,-0.1530090914704945,-0.1056349781675046,-0.1566344559129448,0.0909347874358408,0.087236800221522,0.3382297598553507,-0.0184105765288364,-0.1075744300284939
MLP02_curve_ndvi,kfold5_owner,MLP,tabular,ndvi,late,-0.2516801958519624,0.4060482904019158,-0.03522037512613246,-0.6102447413119434,0.1068843496080187,-0.25136517267923003,-0.4157665421300715,-0.7845978515077775,-0.6303698302979811,-0.5182601166090931,0.069085479733129,-0.1671042673794173,0.2416820356323809,-0.0687311340491797,0.0098855334585462
