row,scheme,agg,spec,index,question,minutes,hill_q0,hill_q1,hill_q2,lcbd_pa,pcoa1_pa,pcoa2_pa,lcbd_cover,pcoa1_cover,pcoa2_cover,R2_beta,R2_beta_sd,R2_alpha,R2_beta_cover,n_features
X05,kfold5_owner,median,svh+topo+area,,"heterogeneidad espectral entre pixeles, sola",4.67,-0.1957007930783251,-0.3359052451179203,-0.4210000832958203,0.1142400627658254,0.2977054787240282,0.0247637024196117,-0.2351032104288187,-0.0249275641041826,-0.0531140743466795,0.1455697479698217,0.0184627360082169,-0.3175353738306886,-0.104381616293227,241
X05,kfold5_window,median,svh+topo+area,,"heterogeneidad espectral entre pixeles, sola",4.62,0.5601325623333694,0.3074954480953289,0.2199887788381111,0.4287701765914083,0.5126250495843837,0.4133525270170402,0.2194831444910309,0.3091849806696981,0.2326031688017059,0.4515825843976107,0.0050384139328614,0.3625389297556032,0.2537570979874783,241
X06,kfold5_owner,median,composite_all+svh+topo+area,,la heterogeneidad aporta sobre el nivel?,5.54,-0.2020049444552382,-0.4877233714434891,-0.5843337763917301,0.0316883234343677,0.3619127100341071,0.1326744894970764,-0.2494687202821535,0.0159196774908419,-0.0704993375037301,0.1754251743218504,0.0208443247271964,-0.4246873640968192,-0.1013494600983472,301
X06,kfold5_window,median,composite_all+svh+topo+area,,la heterogeneidad aporta sobre el nivel?,5.53,0.5856818955216282,0.331817738658347,0.2352078311332195,0.4464253440421526,0.5496484109140134,0.4534691237139189,0.267105582083663,0.3568627165610105,0.3172886446173756,0.483180959556695,0.0036853419571654,0.3842358217710649,0.3137523144206831,301
X07,kfold5_owner,median,gm+topo+area,,geomediana + las tres MAD: composite sin forma temporal,2.09,-0.3391874587693753,-0.4960775887802515,-0.4483945214042721,0.1253685049353589,0.374801639731977,0.1659788676213297,-0.1958573021900284,0.0537727589924114,0.0138021705116386,0.2220496707628885,0.0144414286740538,-0.427886522984633,-0.0427607908953261,36
X07,kfold5_window,median,gm+topo+area,,geomediana + las tres MAD: composite sin forma temporal,2.1,0.604472894313628,0.4669355330615374,0.4599122487825826,0.4922706404594775,0.561182309579232,0.4989039376921553,0.288856656665404,0.3818906638579349,0.3040815168363868,0.5174522959102883,0.0042370844842888,0.510440225385916,0.3249429457865753,36
X08,kfold5_owner,median,gm+curve+topo+area,kndvi,fenologia sobre geomediana,2.57,-0.2651145983663943,-0.5135905775165501,-0.5370737534878257,0.1797223868574551,0.39745320871784,0.1924607240848341,-0.1350212712914832,0.0610459744782894,0.0373795434252741,0.2565454398867098,0.0142069344847257,-0.4385929764569233,-0.0121985844626398,88
X08,kfold5_window,median,gm+curve+topo+area,kndvi,fenologia sobre geomediana,2.56,0.6094024136568641,0.4850988937757561,0.4588820820155249,0.5118101740244557,0.5673574499366346,0.4973624002466101,0.3120373496374984,0.3845121234006936,0.341844911068786,0.5255100080692335,0.0042912600786602,0.5177944631493817,0.3461314613689927,88
X09,kfold5_owner,median,obscomp_all+topo+area,,"composites sobre observaciones reales, sin el suavizado",5.98,-0.2908604894882223,-0.4124848860211633,-0.3968326442452567,0.0603825434586609,0.3697232573627352,0.1899458852324336,-0.1992347140280746,0.0578427761627764,-0.0449763731231964,0.2066838953512766,0.0132378988304658,-0.3667260065848808,-0.0621227703294982,86
X09,kfold5_window,median,obscomp_all+topo+area,,"composites sobre observaciones reales, sin el suavizado",7.67,0.6114184442444679,0.4737614773858896,0.4740649663063738,0.4987880808258056,0.5663683982990104,0.5063867547651532,0.3141026359834555,0.3899832383659698,0.3314364360275432,0.5238477446299897,0.0030154146189662,0.5197482959789105,0.3451741034589895,86
X10,kfold5_owner,median,seas_all+topo+area,,fenologia reducida a 4 numeros: mediana por estacion austral,5.06,-0.2494379412263966,-0.8180388557234289,-1.0035456145707593,0.1300145687235988,0.3701245410567824,0.1559795238493108,-0.1970581047292207,0.0310344036666498,-0.0096301645488956,0.2187062112098974,0.0187535014894393,-0.6903408038401949,-0.0585512885371555,51
X10,kfold5_window,median,seas_all+topo+area,,fenologia reducida a 4 numeros: mediana por estacion austral,5.07,0.6053618739704153,0.351645933447082,0.2714239547158703,0.4861503575727222,0.5611736742552703,0.4747310294647582,0.2978355449902906,0.3757043637388002,0.3049770759253581,0.5073516870975836,0.0032827504461816,0.4094772540444558,0.3261723282181497,51
X11,kfold5_owner,median,contrast+topo+area,,contrastes entre indices (ndvi-savi mide exposicion de suelo),5.11,-0.3155400273906976,-0.3835767792706929,-0.4622718025969266,0.1493818641424686,0.4002058667614492,0.0928728144539389,-0.3859655897075338,0.0758271534138427,-0.0454359835532142,0.2141535151192856,0.0205210238479639,-0.3871295364194391,-0.1185248066156351,51
X11,kfold5_window,median,contrast+topo+area,,contrastes entre indices (ndvi-savi mide exposicion de suelo),5.07,0.5706280901443365,0.3361328710294136,0.2571118474668267,0.4596883712666981,0.5554790366872936,0.4667376251779018,0.2472427367347552,0.3860005881159071,0.3183864069992158,0.4939683443772979,0.0041150823800401,0.3879576028801922,0.317209910616626,51
X12,kfold5_owner,median,gm+obscomp_all+seas_all+contrast+topo+area,,"todo lo que NO tiene forma, junto",12.76,-0.2798680938435808,-0.406353213748473,-0.4237748087215023,0.0848011459553029,0.3515673109447633,0.1550667950456703,-0.2192777394792292,0.0244053064178794,-0.0496795943422584,0.1971450839819122,0.0129195304332669,-0.3699987054378521,-0.0815173424678693,161
X12,kfold5_window,median,gm+obscomp_all+seas_all+contrast+topo+area,,"todo lo que NO tiene forma, junto",12.86,0.6132087807806721,0.4668367511120213,0.4649008563027598,0.5048883198794637,0.558777021355516,0.4989997312660723,0.3343959855542442,0.3820157430431181,0.3433626956419637,0.5208883575003507,0.0044716858986004,0.5149821293984844,0.3532581414131087,161
X13,kfold5_owner,median,curve_all+topo+area,,"las 5 curvas apiladas (= RF06, el mejor publicado)",20.76,-0.2461536855500804,-0.6936567398139241,-0.8641227746125776,0.2026307489701743,0.4089943755188147,0.1929494801252897,-0.1062309843840834,0.0603374982737216,-0.0135399231643968,0.2681915348714263,0.0164370465980304,-0.6013110666588607,-0.0198111364249195,281
X13,kfold5_window,median,curve_all+topo+area,,"las 5 curvas apiladas (= RF06, el mejor publicado)",20.81,0.5955011761794369,0.395349256602673,0.302595354287446,0.4935722443654631,0.562731931399188,0.4912735494746227,0.3223242903443852,0.3717386689145132,0.3400029850591238,0.5158592417464246,0.0038520140774382,0.431148595689852,0.3446886481060074,281
X14,kfold5_owner,median,lsp+curve+composite_all+gm+obscomp_all+seas_all+contrast+svh+topo+area,kndvi,todo junto: el techo empirico,37.12,-0.2165266284521048,-0.2947300853332139,-0.322757705062828,0.1214988700674536,0.3481855856598524,0.1460878383509224,-0.249019590883659,0.0135921045384192,-0.0566749079605261,0.2052574313594095,0.0182783759374767,-0.2780048062827156,-0.0973674647685886,511
X14,kfold5_window,median,lsp+curve+composite_all+gm+obscomp_all+seas_all+contrast+svh+topo+area,kndvi,todo junto: el techo empirico,36.29,0.6030528871553194,0.4608084537962325,0.4441359423833356,0.4932890097032293,0.5419075914233727,0.4976180524648315,0.3074785643011858,0.3500168288379692,0.3368459396079257,0.5109382178638112,0.0046188671370195,0.5026657611116291,0.3314471109156935,511
X15,kfold5_owner,median,clim+area,,clima solo: normales bioclimaticas 1971-2000,2.42,-0.0885682821391286,-0.6353151018683444,-1.1452131093772857,0.1669475747957097,0.1646126486186724,0.2003818141072594,0.1206502493597978,-0.0903836702517216,0.0516714856315358,0.1773140125072138,0.024969369033016,-0.6230321644615863,0.0273126882465373,18
