target,step,doy,attribution
hill_q1,20,250.0,0.026931827169262585
hill_q1,21,257.0,0.0289619069503383
hill_q1,22,264.0,0.01697125432279512
hill_q1,23,271.0,0.010362540784698162
hill_q1,24,278.0,0.00622914658811034
hill_q1,25,285.0,0.01237709247416106
hill_q1,26,293.0,0.015657894329033882
hill_q1,27,300.0,0.030186242488715112
hill_q1,28,307.0,0.04026524481829964
hill_q1,29,314.0,0.037514733220070026
hill_q1,30,321.0,0.03346343763654764
hill_q1,31,328.0,0.02307197271150944
hill_q1,32,335.0,0.028751695959808685
hill_q1,33,342.0,0.04773455835960617
hill_q1,34,349.0,0.0356509703912385
hill_q1,35,356.0,0.04285553767411553
hill_q1,36,364.0,0.01889351128199486
hill_q1,37,1.0,0.025924490749555055
hill_q1,38,8.0,0.018999290123553506
hill_q1,39,15.0,0.026300997589135355
hill_q1,40,22.0,0.02949733596645717
hill_q1,41,29.0,0.025335872230829424
hill_q1,42,36.0,0.02896613617348422
hill_q1,43,43.0,0.018309746461951656
hill_q1,44,50.0,0.009801142746636522
hill_q1,45,58.0,0.01919904825807391
hill_q1,46,65.0,0.0313790107200116
hill_q1,47,72.0,0.02764165225181581
hill_q1,48,79.0,0.008399898283434237
hill_q1,49,86.0,0.017279638096916964
hill_q1,50,93.0,0.009676043367694172
hill_q1,51,100.0,0.008995525712682842
hill_q2,0,108.0,0.006745991044469291
hill_q2,1,115.0,0.004247105384581199
hill_q2,2,122.0,0.0052627898877374655
hill_q2,3,129.0,0.006422803774882783
hill_q2,4,136.0,0.008049574004355063
hill_q2,5,143.0,0.00700601611335223
hill_q2,6,150.0,0.009135899495314653
hill_q2,7,158.0,0.005931975921382878
hill_q2,8,165.0,0.011384892656016693
hill_q2,9,172.0,0.009138746006851458
hill_q2,10,179.0,0.014268782907378921
hill_q2,11,186.0,0.014376196020715343
hill_q2,12,193.0,0.019002021558270875
hill_q2,13,200.0,0.010936225541189278
hill_q2,14,207.0,0.01587529947260462
hill_q2,15,214.0,0.007473671108684732
hill_q2,16,222.0,0.010962870941217878
hill_q2,17,229.0,0.0199868468016316
hill_q2,18,236.0,0.01939980975093665
hill_q2,19,243.0,0.029148391233243205
hill_q2,20,250.0,0.025964225155970994
hill_q2,21,257.0,0.026307151057730096
hill_q2,22,264.0,0.01530373225909462
hill_q2,23,271.0,0.008522692216278067
hill_q2,24,278.0,0.007282478724131751
hill_q2,25,285.0,0.012593916259718944
hill_q2,26,293.0,0.017410164909355045
hill_q2,27,300.0,0.03161275290009011
hill_q2,28,307.0,0.04148255514247913
hill_q2,29,314.0,0.03744393312026979
hill_q2,30,321.0,0.031473576205698815
hill_q2,31,328.0,0.020954420974496065
hill_q2,32,335.0,0.026019155476894994
hill_q2,33,342.0,0.045410810926388705
hill_q2,34,349.0,0.035670652730413345
hill_q2,35,356.0,0.044595415717009756
hill_q2,36,364.0,0.022469461803771334
hill_q2,37,1.0,0.02606390563072473
hill_q2,38,8.0,0.019602512239828677
hill_q2,39,15.0,0.02912364298645726
hill_q2,40,22.0,0.032067227739738254
hill_q2,41,29.0,0.02704242115847794
hill_q2,42,36.0,0.02855934997195803
hill_q2,43,43.0,0.0180244204061129
hill_q2,44,50.0,0.010661888121935413
hill_q2,45,58.0,0.0204251452231439
hill_q2,46,65.0,0.0301514478767156
