target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed,run_id,scheme,family,features,substrate,index,fusion,model
lcbd_count_sorensen,2499,0.4056883954204734,1.6340806073986384e-05,0.1990785766094057,1.3211716781961464e-05,-1.5207542108504677e-06,0.569345087645474,0,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q0,888,0.579500590915569,2.271052581856478,0.112769268419919,1.564949674490773,0.2596539473324253,0.3529843085948784,0,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q1,888,0.0034405342243509,1.1778902337546096,0.2202552433938936,0.9364521013129,0.1336944842162139,0.2150877855354902,0,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q2,888,0.0465536252913726,0.9070968138522736,0.238108836272687,0.7149960234491002,-0.015648633662781,0.2777344408280606,0,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
td_inext_q0,895,0.769180336002616,5.440088228040076,0.0920968971434616,2.847416759267533,0.3361852339185483,0.2514667004107486,0,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
td_inext_q1,895,-0.1774760855442643,2.77512576913941,0.1908673568972053,1.73052165535798,0.3090391934476572,0.1927589188819778,0,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
td_inext_q2,895,-0.032165832563509,1.662483612471268,0.209785416784231,1.2431089184435524,0.1906025051773445,0.1793732370014274,0,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
lcbd_count_sorensen,2499,0.4450613273362792,1.5790244919392065e-05,0.1923711393815964,1.2568780303421094e-05,2.259250996249006e-07,0.6026746594188281,1,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q0,888,0.6196827156588081,2.1598198403277973,0.107245999171667,1.5265937324102392,0.1872159862222095,0.3615186821021998,1,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q1,888,-0.065557941995006,1.217984458724258,0.2277525152332484,0.9487489265538404,0.0801898301209184,0.1693120504843508,1,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q2,888,0.030132542969818,0.914874871650226,0.2401505414825939,0.7267541891376758,0.0321397542019712,0.2449950821461576,1,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
td_inext_q0,895,0.7195998340406575,5.995959270803232,0.101507405963248,3.397420881866829,1.1772282856078946,0.2192156123011601,1,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
td_inext_q1,895,-0.2558471874793249,2.865992312530484,0.197116968053682,1.6859874004280275,0.0424874166758843,0.2140832044211625,1,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
td_inext_q2,895,-0.1255929322256652,1.7360943049149984,0.2190741999507181,1.25916246440788,0.073799092095511,0.1004274239258957,1,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
lcbd_count_sorensen,2499,0.4321610661329247,1.5972722776653942e-05,0.1945942507704685,1.2781457249648094e-05,-4.225287185473149e-07,0.580137232129319,2,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q0,888,0.5608587665828089,2.3208474941408657,0.1152418381323975,1.554284670848587,-0.1000963911444467,0.3850928172382997,2,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q1,888,0.0082288777084814,1.1750570187831408,0.2197254568015225,0.9103884867309588,-0.0230456515099726,0.2003249784243285,2,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q2,888,0.0497798085738946,0.9055608384567376,0.2377056496355061,0.7260834484946362,0.0334086283330707,0.28125400076088,2,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
td_inext_q0,895,0.8111679440531878,4.9204792168141935,0.0833002792108649,2.6723038896026097,-0.5629644992567353,0.2783835236598526,2,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
td_inext_q1,895,-0.0636832575564922,2.6376233829097933,0.1814102298298276,1.6512799184023728,0.1152217723058498,0.2283374773241876,2,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
td_inext_q2,895,-0.0441147269520194,1.6720788148162042,0.2109962158008115,1.2090023943661146,-0.0779088399830002,0.1063638738504552,2,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
lcbd_count_sorensen,2499,0.4462507674117766,1.5773313656716312e-05,0.1921648673251001,1.2438731455444574e-05,-1.0376827648467748e-06,0.6003476655249801,3,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q0,888,0.605856571053796,2.198728672852884,0.109178019862857,1.531328368156031,0.0500467003369223,0.3765846850003782,3,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
pd_inext_q1,888,0.0288552232622232,1.1627737020325284,0.2174285832533256,0.9032001430896834,-0.0031657083500202,0.2212039064897685,3,C2D02_serpentine_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C2D,topo+area,serpentine,kndvi,late,C2D-B
