site_id,X,Y,lon,lat,year,win_start,win_end,cell,n_obs_center,n_obs_mean5x5,max_doy_gap,mean_doy_gap,frac_valid_px,n_obs_per_year,n_years_with_obs,patch_y,patch_x,sensors,error
LT1208,258929.00000000055,5630207.000000003,-71.8013701688001,-39.4439778321937,2013,2011.0,2013.0,52_1126,57.0,68.0,22.0,5.373134328358209,0.3592307692307692,"{""2011"": 22, ""2012"": 19, ""2013"": 27}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1233,260867.0000000016,5644394.999999995,-71.7738118496585,-39.316823550196,2013,2011.0,2013.0,52_1129,69.0,81.0,19.0,4.5375,0.4473684210526316,"{""2011"": 27, ""2012"": 22, ""2013"": 32}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1244,261378.9999999987,5653519.000000003,-71.7646475893484,-39.2348451773233,2016,2014.0,2016.0,52_1131,96.0,111.0,31.0,3.3,0.39296,"{""2014"": 35, ""2015"": 40, ""2016"": 36}",3.0,5.0,5.0,"landsat7,landsat8",
LT1247,262235.0000000006,5655390.000000005,-71.7540820257472,-39.2182400089966,2016,2014.0,2016.0,52_1131,101.0,112.0,31.0,3.2522522522522523,0.40128,"{""2014"": 34, ""2015"": 41, ""2016"": 37}",3.0,5.0,5.0,"landsat7,landsat8",
LT1257,261282.999999998,5659832.999999998,-71.7635289582691,-39.1779894737688,2017,2015.0,2017.0,52_1132,114.0,125.0,19.0,2.927419354838709,0.4421875,"{""2015"": 43, ""2016"": 43, ""2017"": 39}",3.0,5.0,5.0,"landsat7,landsat8",
LT1281,258942.00000000195,5675266.000000001,-71.7851234953099,-39.038439115457,2014,2012.0,2014.0,52_1135,72.0,89.0,19.0,4.056818181818182,0.3930054644808743,"{""2012"": 19, ""2013"": 34, ""2014"": 36}",3.0,5.0,5.0,"landsat7,landsat8",
LT1294,262384.9999999966,5688527.999999999,-71.7407774706617,-38.9200101212643,2014,2012.0,2014.0,52_1138,76.0,88.0,19.0,4.080459770114943,0.420983606557377,"{""2012"": 18, ""2013"": 35, ""2014"": 35}",3.0,5.0,5.0,"landsat7,landsat8",
LT1295,258173.99999999529,5688640.000000006,-71.7892567404209,-38.9178520041068,2014,2012.0,2014.0,52_1138,70.0,82.0,27.0,4.407407407407407,0.3783606557377049,"{""2012"": 19, ""2013"": 34, ""2014"": 29}",3.0,5.0,5.0,"landsat7,landsat8",
LT1344,262072.00000000416,5718558.999999995,-71.7340331932887,-38.649605248654,2017,2015.0,2017.0,52_1144,95.0,104.0,57.0,3.533980582524272,0.36328125,"{""2015"": 36, ""2016"": 36, ""2017"": 32}",3.0,5.0,5.0,"landsat7,landsat8",
LT1356,257841.9999999992,5722332.000000001,-71.7812739295587,-38.6144977039448,2017,2015.0,2017.0,52_1144,102.0,113.0,27.0,3.25,0.3996875,"{""2015"": 37, ""2016"": 40, ""2017"": 36}",3.0,5.0,5.0,"landsat7,landsat8",
LT1359,258774.99999999843,5723394.999999994,-71.7702014862007,-38.6051833444653,2013,2011.0,2013.0,52_1145,70.0,81.0,16.0,4.5375,0.4578947368421052,"{""2011"": 24, ""2012"": 23, ""2013"": 34}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1381,261301.00000000212,5730566.999999995,-71.7387700599938,-38.5413061310562,2013,2011.0,2013.0,52_1146,74.0,85.0,17.0,4.321428571428571,0.4971052631578947,"{""2011"": 27, ""2012"": 24, ""2013"": 34}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1421,258200.0000000016,5747413.999999999,-71.7685036971526,-38.388818468489,2015,2013.0,2015.0,52_1149,97.0,113.0,19.0,3.2232142857142856,0.4237229437229437,"{""2013"": 37, ""2014"": 35, ""2015"": 41}",3.0,5.0,5.0,"landsat7,landsat8",
LT1443,261563.99999999724,5757622.999999997,-71.7265782298802,-38.2978187810357,2015,2013.0,2015.0,52_1152,105.0,114.0,19.0,3.194690265486725,0.4249180327868852,"{""2013"": 35, ""2014"": 39, ""2015"": 40}",3.0,5.0,5.0,"landsat7,landsat8",
LT1478,261509.00000000253,5773661.000000001,-71.7218172307356,-38.1534246450991,2013,2011.0,2013.0,52_1155,58.0,69.0,18.0,5.338235294117647,0.3867549668874172,"{""2011"": 20, ""2012"": 22, ""2013"": 27}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1480,259451.00000000364,5774120.000000005,-71.7451247241916,-38.148746124208,2013,2011.0,2013.0,52_1155,58.0,63.0,19.0,5.854838709677419,0.3652980132450331,"{""2011"": 20, ""2012"": 21, ""2013"": 22}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1485,261180.0000000046,5778671.999999998,-71.7238898072276,-38.1082261544418,2013,2011.0,2013.0,52_1156,47.0,58.0,23.0,6.368421052631579,0.3627906976744186,"{""2011"": 12, ""2012"": 22, ""2013"": 24}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1494,260925.99999999837,5782641.0,-71.7254557753094,-38.0724279160933,2013,2011.0,2013.0,52_1157,53.0,60.0,19.0,6.152542372881356,0.4353333333333333,"{""2011"": 14, ""2012"": 22, ""2013"": 24}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1545,257649.0000000004,5802468.000000003,-71.7560848057689,-37.8930644035317,2016,2014.0,2016.0,52_1160,57.0,71.0,24.0,5.142857142857143,0.4469291338582677,"{""2014"": 23, ""2015"": 24, ""2016"": 24}",3.0,5.0,5.0,"landsat7,landsat8",
LT1549,259510.00000000093,5804590.999999994,-71.734235943037,-37.8744449539149,2016,2014.0,2016.0,52_1161,66.0,76.0,26.0,4.8,0.52,"{""2014"": 25, ""2015"": 26, ""2016"": 25}",3.0,5.0,5.0,"landsat7,landsat8",
LT1568,261056.00000000047,5811693.000000004,-71.7143308757674,-37.8109124717779,2012,2010.0,2012.0,52_1162,35.0,44.0,22.0,8.325581395348838,0.4816666666666667,"{""2010"": 15, ""2011"": 17, ""2012"": 12}",3.0,5.0,5.0,"landsat5,landsat7",
LT1588,262482.9999999989,5820792.999999998,-71.6951596136703,-37.7293552340435,2013,2011.0,2013.0,52_1164,49.0,52.0,21.0,7.117647058823529,0.5956626506024096,"{""2011"": 15, ""2012"": 14, ""2013"": 23}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1601,260903.00000000335,5829713.0,-71.7101436188646,-37.6486350290218,2013,2011.0,2013.0,52_1166,51.0,54.0,21.0,6.849056603773585,0.6092682926829268,"{""2011"": 17, ""2012"": 15, ""2013"": 22}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1603,260844.00000000215,5830719.000000004,-71.7104823196029,-37.6395623137788,2013,2011.0,2013.0,52_1166,52.0,54.0,21.0,6.849056603773585,0.6219512195121951,"{""2011"": 19, ""2012"": 14, ""2013"": 21}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1617,262062.0000000033,5842801.000000004,-71.6927678953042,-37.5310977583165,2013,2011.0,2013.0,52_1169,50.0,57.0,21.0,6.482142857142857,0.5975609756097561,"{""2011"": 18, ""2012"": 15, ""2013"": 24}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1619,261752.99999999884,5847811.999999994,-71.6946378425381,-37.4859006805048,2017,2015.0,2017.0,52_1170,67.0,72.0,21.0,5.112676056338028,0.5203174603174603,"{""2015"": 25, ""2016"": 26, ""2017"": 21}",3.0,5.0,5.0,"landsat7,landsat8",
LT1645,260797.9999999969,5867771.000000002,-71.6989718410738,-37.3059475339933,2013,2011.0,2013.0,52_1174,53.0,59.0,21.0,6.258620689655173,0.6448780487804878,"{""2011"": 18, ""2012"": 18, ""2013"": 23}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1647,260449.9999999979,5868277.000000003,-71.7027312459793,-37.3013019663563,2014,2012.0,2014.0,52_1174,63.0,69.0,19.0,5.220588235294118,0.6488888888888888,"{""2012"": 18, ""2013"": 23, ""2014"": 28}",3.0,5.0,5.0,"landsat7,landsat8",
LT1679,258394.00000000253,5900689.000000002,-71.7154396134106,-37.0089322858717,2013,2011.0,2013.0,52_1180,52.0,54.0,19.0,6.849056603773585,0.6395121951219512,"{""2011"": 18, ""2012"": 16, ""2013"": 20}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1680,259324.00000000343,5901742.999999994,-71.7046613713839,-36.9996803121737,2013,2011.0,2013.0,52_1180,54.0,58.0,21.0,6.368421052631579,0.6658536585365854,"{""2011"": 18, ""2012"": 18, ""2013"": 22}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
